"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	6	4	1	7	14	3	3	1	8	6	6	1	7	7	8	9	14	3	4	3	0	11	8	9	9	7	16	2	18	1	1	1	7	1	1	2	16	3	12	16	5	14	19	21	1	13	4	4	6	4	16	6	2	6	8	8	2	1	17	19	10	2	6	11	10	19	12	5	5	4	5	0	6	6	7	2	
75	137	136	89	87	74	129	74	87	74	139	204	218	114	149	102	172	71	172	74	73	55	78	170	94	106	136	138	177	62	84	78	55	60	53	37	41	79	126	74	148	176	96	141	184	249	71	179	71	64	65	77	178	47	52	105	97	60	53	69	163	216	60	80	79	5	168	166	170	82	120	65	113	57	89	121	148	25	
128	117	109	91	189	159	117	175	178	151	133	139	92	89	132	182	134	86	138	160	105	52	159	90	174	99	122	102	123	115	125	155	121	120	107	76	85	53	209	141	97	112	206	90	118	123	144	76	153	159	81	164	104	29	103	72	140	102	105	138	105	81	240	161	39	97	74	56	68	27	113	111	73	113	190	230	104	26	
806	968	1035	1055	938	795	1152	737	1119	1007	988	1329	1231	768	899	894	1111	806	1008	794	784	335	836	1192	1269	929	1010	944	1137	642	1020	1042	806	798	427	516	562	498	1169	967	1087	1099	1034	1019	1278	1427	946	1084	764	672	608	821	1130	318	685	869	784	762	693	916	1053	1171	856	1064	446	977	871	967	1080	465	690	877	633	748	947	1290	896	260	
23	34	32	18	17	8	22	4	31	22	33	35	24	13	26	22	22	21	33	7	6	8	12	43	39	25	31	37	49	12	8	27	22	20	8	13	14	12	57	24	52	29	4	52	37	52	22	60	8	7	20	8	56	22	18	41	25	45	18	21	70	70	15	27	29	11	42	50	76	40	15	9	41	19	5	51	33	6	
6	10	4	4	5	5	14	4	2	1	8	18	11	8	12	13	14	7	13	1	7	3	0	8	2	18	7	16	12	7	4	1	1	1	0	1	1	3	19	3	11	8	6	8	11	10	0	7	4	8	5	3	12	1	1	6	4	8	1	2	5	6	8	2	4	4	9	7	13	3	3	3	4	4	8	6	11	0	
7	12	13	3	4	6	13	8	2	1	17	32	5	2	11	9	10	3	11	3	6	5	9	16	3	7	21	11	11	7	8	1	2	2	7	1	2	8	16	2	11	11	4	23	24	31	0	21	10	3	8	4	21	5	1	10	9	9	1	3	26	12	7	2	4	5	17	21	29	15	7	4	16	4	10	8	10	2	
9	11	12	3	0	6	19	6	3	1	10	9	13	8	6	6	11	6	10	16	4	6	6	21	2	9	16	18	16	5	2	2	3	3	6	2	1	1	28	2	32	20	9	17	23	33	1	14	4	3	11	9	19	8	2	10	13	14	1	1	34	28	10	3	9	3	19	19	29	14	2	18	24	2	7	12	14	1	
