"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	0	3	0	0	2	1	0	1	0	0	1	1	1	0	1	0	0	2	2	0	3	3	0	4	2	3	3	0	0	2	0	1	3	6	8	3	0	1	0	2	0	0	0	2	2	3	5	6	2	3	0	1	2	1	2	0	0	0	1	6	3	5	0	0	4	0	3	3	1	0	
16	26	3	13	32	39	23	19	32	51	28	47	23	6	3	16	47	16	13	8	11	108	77	22	178	177	192	145	200	116	183	19	19	33	16	95	54	83	91	78	33	37	25	37	23	4	42	35	22	88	92	106	123	115	10	2	24	30	15	63	17	12	160	190	181	78	10	5	51	6	49	86	98	4	
16	19	9	5	5	31	11	15	46	37	24	13	28	7	8	16	8	5	19	14	9	58	60	20	57	87	98	73	97	83	80	25	7	26	20	49	35	56	58	61	34	23	18	30	31	12	9	13	12	77	81	67	110	63	14	6	22	27	20	56	5	9	71	79	90	62	2	4	38	0	44	75	56	1	
151	130	55	40	175	263	111	67	257	293	182	296	173	76	57	82	206	83	103	74	43	382	275	101	550	578	591	589	688	527	572	100	89	127	159	316	302	425	421	411	200	240	83	252	213	76	177	120	115	434	437	486	555	377	121	60	193	242	135	237	100	49	380	539	472	414	33	73	344	43	266	484	472	38	
3	3	1	1	1	6	2	1	0	1	0	8	0	0	3	0	0	1	1	1	0	3	0	0	8	1	5	4	6	13	6	1	0	0	0	1	6	2	4	6	6	6	5	4	1	0	4	2	1	6	3	6	4	4	0	0	2	0	1	3	3	0	6	6	12	8	0	0	2	0	4	7	3	0	
0	0	0	1	0	3	1	0	0	3	1	1	0	0	0	0	0	0	0	1	1	2	1	1	9	3	8	2	2	9	4	0	1	0	1	1	1	4	4	4	3	3	0	3	3	0	4	1	2	8	7	2	2	4	0	0	1	3	1	1	1	1	5	8	3	2	0	0	4	0	0	2	6	0	
3	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	4	5	1	7	1	5	4	4	1	2	0	1	1	0	1	2	5	5	4	2	1	0	1	0	0	0	0	1	4	5	1	1	4	1	0	0	0	1	2	0	0	1	7	6	2	0	0	1	0	2	2	1	0	
0	0	0	1	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	2	6	9	4	2	5	0	1	0	0	1	2	1	3	3	1	0	0	0	1	0	2	0	1	3	5	4	1	3	0	0	1	1	0	2	0	1	7	1	2	2	0	0	3	1	3	0	2	0	
