"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №74"	"УИК №75"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №131"	"УИК №132"	"УИК №134"	"УИК №137"	"УИК №1103"	"УИК №1128"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	7	8	2	3	7	4	3	6	8	10	7	15	6	8	5	11	6	13	7	8	13	9	7	7	6	8	8	3	10	8	2	5	5	6	1	5	1	8	4	3	5	9	7	5	2	7	10	16	4	5	8	10	7	10	14	7	10	8	5	14	9	7	8	11	4	7	6	3	7	5	6	4	2	3	1	2	9	
70	73	75	92	32	98	115	102	96	85	151	180	150	226	141	183	188	300	187	206	143	152	161	196	174	119	112	158	194	116	163	130	101	139	131	139	23	135	139	166	102	145	85	143	113	128	149	137	160	206	186	168	133	97	110	161	212	154	189	174	115	125	176	145	160	249	115	108	141	123	121	81	72	98	36	25	17	43	141	
41	61	58	87	42	72	83	110	88	56	106	83	109	98	92	97	66	120	93	104	59	65	79	79	67	52	49	77	95	44	106	90	65	95	104	92	27	55	84	80	85	113	83	101	78	98	103	112	116	120	103	109	106	87	90	58	77	91	81	55	65	49	94	62	67	137	67	90	88	48	105	63	47	77	24	28	10	27	74	
378	376	381	476	240	374	570	568	627	385	772	839	697	996	666	879	831	1135	751	929	631	738	751	847	689	526	549	782	898	390	852	804	583	684	732	648	176	572	775	603	539	940	549	820	665	687	707	920	865	820	857	898	777	526	569	655	1020	803	804	730	612	577	900	650	611	1434	570	750	658	618	598	504	362	482	206	149	100	271	574	
6	7	8	7	6	4	9	6	6	11	11	11	12	27	13	28	21	28	25	18	18	19	17	40	14	12	17	40	27	12	27	14	13	14	13	15	0	18	14	8	7	12	13	16	6	15	14	11	14	16	15	12	12	6	15	9	29	24	20	34	32	26	19	20	28	19	7	8	7	26	5	8	7	8	3	1	1	9	11	
2	2	3	3	3	3	5	3	11	10	6	9	11	11	8	6	11	16	8	3	13	7	5	5	10	6	9	15	6	1	5	7	4	9	11	4	1	9	7	4	5	6	4	6	6	8	7	12	8	5	12	10	9	7	1	5	8	9	5	6	6	10	15	14	7	9	3	11	7	4	4	3	2	4	3	2	1	3	5	
4	3	4	3	0	0	4	2	6	2	6	8	8	12	6	12	6	25	11	14	6	8	14	15	8	7	7	10	8	11	10	10	4	7	6	4	0	15	8	6	10	8	4	5	8	4	6	10	6	3	7	9	2	7	4	15	13	9	15	10	15	9	8	17	11	17	5	4	1	10	2	2	2	1	0	2	2	1	2	
1	4	6	1	1	4	4	3	3	4	14	8	9	10	9	14	18	13	6	16	7	21	12	15	10	12	13	20	15	7	11	17	3	9	8	8	1	10	0	2	4	7	9	6	9	2	6	7	9	7	7	9	9	3	4	15	20	19	22	14	13	18	14	17	10	10	3	4	4	21	7	4	4	6	1	1	0	0	6	
