"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №2226"	"УИК №2255"	"УИК №2286"	"УИК №2407"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	13	16	5	6	12	2	5	5	7	12	6	11	15	6	8	8	8	6	4	7	14	9	12	9	7	9	12	5	7	4	9	18	8	12	12	10	4	9	8	9	21	11	13	16	11	14	13	15	16	15	16	19	20	10	5	11	11	7	5	2	7	12	
188	126	184	114	131	89	126	113	80	124	186	103	159	187	123	118	120	142	106	94	127	196	121	152	133	154	126	159	54	182	111	153	220	88	193	194	111	111	162	183	210	224	177	180	162	229	171	199	164	196	188	153	219	188	243	173	225	250	225	67	59	199	249	
65	60	126	69	92	74	86	61	49	80	98	58	76	90	59	67	70	102	75	45	74	92	87	115	121	79	104	89	43	106	38	99	107	66	83	103	98	61	82	96	88	99	92	128	110	98	104	105	93	90	95	111	89	128	113	104	101	113	107	46	58	113	109	
895	756	1037	548	761	815	654	552	533	764	1068	581	756	1031	737	835	729	1025	642	534	715	1119	954	1017	1003	965	973	1052	493	1126	706	950	1202	591	1187	1197	810	679	821	1131	1028	1149	976	1014	1036	1135	1147	1329	1063	1157	1093	1209	1012	1417	1437	1093	1023	1250	1137	525	478	1029	1212	
61	31	37	17	24	20	17	23	14	20	43	22	31	38	25	23	32	33	34	16	40	60	19	24	24	20	25	37	22	39	33	37	56	18	28	38	25	25	20	29	36	41	25	33	36	39	27	40	19	22	25	33	27	35	54	31	30	31	34	21	14	39	42	
10	11	9	5	5	2	10	3	4	11	18	6	10	16	11	9	4	7	6	9	6	7	7	15	10	8	18	8	5	10	4	13	16	5	17	16	16	10	6	7	13	11	4	11	10	17	11	16	4	15	15	13	17	9	15	7	9	11	18	4	4	8	13	
27	10	10	9	10	12	9	8	8	11	28	4	13	21	13	8	14	15	10	5	11	17	12	11	14	12	11	16	9	25	13	16	24	10	13	18	9	13	5	15	14	24	23	7	16	22	22	16	13	15	14	12	9	24	17	20	13	21	30	3	5	9	15	
63	35	20	14	21	19	29	25	12	18	16	19	31	31	17	13	6	17	21	11	34	40	18	30	19	26	18	21	13	39	25	33	36	22	30	38	22	19	26	23	23	27	21	25	17	27	25	21	23	25	24	22	38	30	41	14	13	31	31	8	4	24	30	
