"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	7	1	6	1	11	11	8	9	15	5	7	7	14	6	15	1	14	10	17	12	13	8	3	16	16	15	18	15	6	14	12	17	14	13	17	14	11	10	4	13	7	6	5	4	8	6	17	10	18	7	8	10	12	15	7	18	8	11	18	14	18	18	10	9	14	6	2	10	7	17	23	8	15	10	14	15	19	16	8	14	5	1	2	2	
109	120	24	52	20	130	121	82	117	166	83	88	71	142	103	140	23	202	78	151	179	163	140	109	169	180	201	192	165	133	181	145	159	146	170	134	199	145	138	104	109	97	53	60	118	104	85	204	134	130	115	88	102	156	143	159	223	178	157	169	303	237	139	162	194	182	123	71	117	101	184	214	140	220	131	145	223	276	211	77	98	97	9	31	46	
89	98	39	89	34	98	94	88	88	136	94	99	87	156	105	80	33	107	60	106	100	130	97	70	141	129	135	154	104	125	100	101	126	91	121	72	157	97	115	87	98	93	75	30	58	67	63	181	84	84	96	71	90	103	84	124	123	81	54	95	103	81	108	89	146	103	84	59	66	55	108	115	85	115	92	107	108	140	167	138	118	80	16	44	46	
747	685	219	560	100	710	766	637	668	966	528	594	567	843	631	692	206	1109	494	727	960	902	708	405	984	1071	1132	1062	906	903	938	811	888	798	863	711	913	774	715	617	575	643	473	342	473	549	600	1136	591	733	666	549	575	856	909	779	967	799	630	807	1083	979	773	642	973	972	689	385	590	496	1065	1124	842	1069	709	1007	1028	1405	1142	702	764	628	136	365	367	
19	16	5	12	2	23	19	20	14	35	20	19	18	35	32	26	4	35	23	46	50	29	36	32	50	41	46	61	35	38	55	47	57	49	37	43	53	25	21	30	30	31	19	14	36	31	25	49	42	40	24	25	22	26	35	37	64	51	30	41	70	53	60	46	58	50	44	14	23	19	44	43	38	39	43	32	50	63	41	61	19	14	3	8	11	
7	8	0	3	1	12	8	5	6	9	8	8	7	7	3	5	3	14	5	11	10	10	6	6	13	13	13	16	8	15	13	13	10	9	9	13	7	10	11	10	5	7	6	3	2	5	3	15	7	5	6	1	12	17	5	7	11	7	3	14	12	8	12	9	15	14	10	5	11	6	11	10	12	8	17	15	5	7	10	5	11	4	1	3	3	
13	8	2	8	2	8	18	11	11	20	5	14	11	15	8	13	1	28	11	28	17	11	14	15	21	17	17	20	23	13	18	23	15	23	18	11	11	16	9	11	4	9	7	4	16	12	9	21	11	18	17	10	9	11	19	19	25	21	19	22	30	32	24	18	26	26	15	12	14	10	23	27	27	26	14	20	24	31	21	18	5	2	0	4	4	
11	8	1	7	1	7	10	7	3	22	8	6	14	9	7	21	3	35	19	25	34	16	16	10	24	23	24	27	15	14	22	12	21	24	20	21	15	10	18	19	10	14	6	13	17	20	17	33	14	34	16	14	9	25	26	15	28	40	30	30	44	42	16	25	31	30	24	7	7	13	27	26	24	21	25	21	32	30	23	3	7	13	0	0	2	
