"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	"УИК №2636"	"УИК №2637"	"УИК №2638"	"УИК №2639"	"УИК №2640"	"УИК №2641"	"УИК №2642"	"УИК №2643"	"УИК №2644"	"УИК №2645"	"УИК №2646"	"УИК №2647"	"УИК №2648"	"УИК №2649"	"УИК №2650"	"УИК №2651"	"УИК №2652"	"УИК №2653"	"УИК №2654"	"УИК №2655"	"УИК №2656"	"УИК №2657"	"УИК №2658"	"УИК №2659"	"УИК №2660"	"УИК №2661"	"УИК №2662"	"УИК №2663"	"УИК №2664"	"УИК №2665"	"УИК №2666"	"УИК №2667"	"УИК №2668"	"УИК №2669"	"УИК №2670"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	12	5	4	5	1	10	2	5	10	3	8	8	0	12	8	6	7	11	7	13	2	0	6	4	8	1	10	1	1	0	5	1	1	2	27	2	11	1	1	6	2	1	0	1	3	1	5	6	4	3	7	8	3	0	4	2	0	0	1	21	27	10	1	6	1	2	2	5	6	
153	138	153	81	146	33	120	103	90	181	14	167	131	111	208	217	156	54	237	153	288	80	3	116	195	53	38	73	8	16	39	131	18	11	18	97	77	189	168	24	28	142	98	12	24	188	28	143	133	233	107	93	163	18	9	10	5	8	52	26	108	183	56	9	156	59	4	9	77	108	
75	66	41	38	45	16	57	7	49	54	13	58	53	28	61	71	63	19	76	49	216	30	2	44	132	39	13	25	5	11	4	130	5	11	11	56	53	42	124	33	39	89	35	8	10	51	21	82	42	60	70	57	70	21	17	19	8	10	19	44	96	92	52	7	65	21	10	10	41	40	
1771	907	865	516	1308	525	1415	1419	1388	1330	1927	1002	1362	552	1457	1140	818	883	1322	1201	1721	1240	168	1379	1725	575	610	817	205	650	166	1872	271	196	452	1611	1798	1785	1842	327	760	1938	690	112	409	1413	342	946	819	902	1294	1510	2352	381	242	572	300	472	617	532	2090	1938	915	542	938	579	777	169	905	678	
7	8	7	8	5	1	20	2	6	9	6	7	23	7	20	25	11	5	19	11	34	4	0	7	12	8	2	3	0	2	0	6	2	1	2	12	2	0	7	1	9	7	6	2	1	8	4	20	5	3	5	11	3	0	0	3	1	0	0	5	18	9	2	1	14	7	2	0	6	2	
13	11	8	5	7	2	7	1	11	11	1	9	10	5	10	11	3	1	14	7	18	1	0	7	6	5	3	9	2	5	0	4	0	1	1	14	4	8	3	1	2	3	4	0	2	10	3	4	10	4	10	2	11	1	0	5	1	0	3	3	37	8	12	1	8	2	0	3	3	6	
4	9	10	6	10	2	7	1	3	11	1	13	9	3	11	19	10	4	13	9	27	10	0	5	9	4	8	6	5	3	0	1	1	3	1	9	0	6	3	1	5	9	0	1	1	12	1	9	5	11	7	21	5	3	7	2	2	0	0	4	28	17	15	2	13	2	2	2	2	4	
1	3	9	3	4	1	59	1	11	8	4	5	6	3	5	12	3	0	7	9	7	4	0	4	11	5	0	2	0	0	0	4	0	0	1	4	0	14	0	1	5	4	0	0	0	8	1	2	6	4	2	4	2	0	0	1	1	0	0	2	10	7	2	1	4	1	0	3	7	1	
