"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	2	6	1	2	3	0	3	1	1	1	3	1	1	0	1	0	2	0	0	0	0	3	0	0	1	1	5	1	3	0	1	4	0	0	2	1	0	1	1	3	2	1	2	6	1	4	2	4	0	2	0	0	3	0	4	0	1	1	1	0	1	2	
38	48	21	30	10	21	25	21	15	11	3	4	33	4	16	60	36	14	12	3	3	0	3	12	2	23	7	25	11	8	8	7	8	29	4	19	32	7	4	21	18	9	16	8	13	21	8	11	13	15	5	18	0	28	9	67	57	7	8	18	23	10	1	0	
18	29	13	22	7	35	15	176	9	8	3	9	14	7	2	23	18	7	6	5	1	1	0	7	4	13	16	11	7	8	8	14	4	20	3	13	18	5	4	6	30	7	16	8	17	16	7	16	15	8	2	13	0	22	4	17	17	7	2	52	19	7	2	6	
1529	1737	1414	1789	339	1540	1555	1209	1340	922	317	335	1096	417	342	1431	1395	314	516	214	169	135	203	725	154	1042	376	1300	534	599	276	716	493	1163	295	1390	1211	338	133	785	866	1016	1064	797	1063	961	418	578	642	449	384	464	160	1166	378	1607	892	295	254	548	1370	388	187	528	
13	16	12	34	12	9	33	21	34	17	2	6	51	12	7	14	22	4	4	3	9	2	1	6	5	21	4	26	18	14	5	16	3	47	7	24	40	5	1	13	31	10	6	12	11	19	8	7	17	23	6	7	7	23	5	29	9	6	1	25	11	2	0	9	
3	4	3	5	1	3	3	3	1	0	1	2	3	0	1	0	4	0	4	0	0	0	0	1	2	1	2	2	0	2	0	3	3	3	2	9	2	0	0	1	3	0	0	1	0	2	0	2	3	1	1	1	0	0	2	6	1	0	1	1	1	3	0	0	
0	4	2	8	7	1	5	2	3	1	0	3	3	0	0	0	2	1	0	1	0	0	0	1	0	2	1	2	2	0	0	3	1	2	1	4	4	1	1	0	0	1	5	2	0	5	0	0	1	2	1	2	0	3	5	0	0	0	1	2	2	0	0	0	
6	6	4	11	7	2	8	2	7	2	0	1	12	6	3	5	4	0	3	1	0	0	3	0	0	6	7	5	6	3	0	10	0	8	1	10	8	1	0	2	6	3	7	1	5	2	1	4	5	5	4	2	2	8	4	5	5	0	6	6	3	1	1	2	
