"УИК №641"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	0	5	0	2	8	1	2	1	1	4	3	7	8	1	0	1	2	8	3	6	8	5	2	2	0	1	7	3	2	1	3	2	1	0	1	7	4	8	0	0	3	2	2	0	2	1	0	1	1	0	0	4	0	1	1	5	0	2	1	13	0	4	3	1	8	0	0	3	3	0	0	1	0	0	1	0	3	
267	2	12	45	99	65	116	22	30	35	21	36	97	207	142	38	2	37	92	193	33	53	234	242	47	53	62	12	127	49	39	44	47	36	36	29	81	89	120	190	6	16	86	185	90	30	41	7	23	5	7	4	6	36	19	27	6	30	2	123	77	332	196	88	82	74	105	2	12	88	95	41	30	32	5	19	7	5	78	
77	2	2	19	44	45	58	33	34	18	25	13	37	61	58	13	8	11	45	65	11	38	64	58	26	21	24	10	68	14	7	39	55	28	15	14	42	49	81	53	9	9	35	66	30	11	31	6	15	7	6	31	10	22	10	16	12	21	6	39	20	110	61	36	66	33	61	2	13	45	31	11	16	11	8	13	10	7	42	
844	28	53	199	484	358	492	188	231	243	291	137	355	830	579	202	52	154	563	762	101	403	906	851	191	214	318	92	617	179	142	323	420	278	223	170	537	561	742	641	51	91	429	570	383	154	323	63	284	143	102	78	76	96	171	151	85	295	65	423	252	1373	797	410	459	376	487	51	154	588	395	239	194	150	109	206	53	81	465	
40	1	0	4	2	8	2	1	3	4	3	4	13	30	12	7	0	1	18	19	2	8	30	31	4	1	4	1	11	3	7	4	2	2	1	7	5	4	5	14	2	2	13	30	5	2	5	1	2	1	0	1	1	1	1	2	0	2	0	11	1	41	18	11	12	3	8	0	1	14	6	3	4	5	2	4	1	2	7	
5	0	0	0	0	1	9	5	4	1	1	1	7	7	4	6	1	1	2	9	5	4	2	5	0	0	1	1	9	1	4	1	3	1	3	1	5	1	6	4	0	1	1	4	1	1	1	0	1	3	0	2	0	2	1	4	0	0	0	6	2	12	5	3	0	1	3	0	0	6	1	1	0	7	1	1	0	0	2	
10	0	0	1	2	3	1	0	1	0	2	2	3	15	6	1	0	3	4	6	2	1	16	12	2	0	1	0	2	2	2	2	2	2	0	0	1	2	6	2	1	0	8	6	2	0	0	0	5	0	0	0	0	1	0	2	0	0	1	3	2	16	5	1	5	0	1	0	0	7	4	2	0	1	0	0	0	1	4	
12	0	1	1	2	2	6	2	0	0	2	4	7	22	1	4	1	3	12	8	4	3	15	17	2	0	2	3	4	3	3	3	1	0	1	1	12	1	7	6	1	1	3	6	3	2	4	1	1	0	0	0	0	0	0	0	0	0	0	2	3	24	12	1	7	8	5	2	0	8	4	3	3	2	1	0	0	1	7	
