"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	6	8	3	8	4	6	2	6	2	1	1	5	3	8	4	5	2	2	1	0	0	2	1	3	0	0	0	0	1	0	2	0	0	1	2	2	1	0	2	2	0	0	2	4	0	0	1	0	0	2	0	1	0	2	0	0	1	2	0	1	
95	80	231	151	78	189	161	105	89	148	68	84	98	87	67	66	25	88	20	13	34	47	10	27	27	27	2	32	4	10	14	3	31	4	9	5	19	6	15	19	7	21	5	9	34	76	12	7	54	6	9	28	22	10	4	36	6	7	8	30	3	36	
42	59	60	45	25	71	78	32	24	60	35	36	37	53	39	59	31	52	5	12	24	14	10	20	39	29	7	12	3	7	22	9	30	7	17	5	20	5	35	20	5	20	3	9	37	93	10	14	27	3	1	22	6	27	2	46	14	7	14	10	5	12	
341	310	804	519	257	744	638	477	387	563	307	360	346	374	250	334	166	336	48	90	204	143	98	90	217	278	55	133	44	65	167	61	166	45	105	55	199	80	187	258	58	182	49	49	211	339	44	59	233	63	46	129	42	117	48	299	37	122	125	303	33	187	
7	2	6	7	9	7	5	4	3	11	4	4	1	1	2	4	2	3	2	0	1	1	0	0	1	6	1	0	0	0	1	0	0	0	6	0	1	0	2	3	1	0	0	1	4	4	0	0	1	0	0	1	0	1	0	1	0	2	3	0	0	2	
6	1	3	5	2	9	8	6	3	2	5	4	4	4	1	4	0	8	0	2	0	0	1	0	0	4	0	0	0	0	1	4	4	0	1	0	0	0	1	2	1	2	0	0	1	1	1	1	1	0	0	1	1	0	0	3	0	0	0	2	0	1	
1	5	6	0	2	11	4	4	4	5	4	4	3	3	5	5	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	3	0	2	3	3	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	
2	1	3	6	1	6	7	0	4	2	2	0	1	1	2	1	2	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	4	1	0	0	0	0	1	
