"УИК №635"	"УИК №636"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №644"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	"УИК №1871"	"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1895"	"УИК №1896"	"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №3647"	"УИК №3886"	"УИК №3887"	"УИК №3888"	"УИК №3889"	"УИК №3890"	"УИК №3891"	"УИК №3892"	"УИК №3893"	"УИК №3894"	"УИК №3895"	"УИК №3896"	"УИК №3897"	"УИК №3898"	"УИК №3899"	"УИК №3900"	"УИК №3901"	"УИК №3902"	"УИК №3903"	"УИК №3904"	"УИК №4195"	"УИК №4196"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	3	4	8	8	6	4	5	7	13	3	4	9	5	5	3	15	6	4	3	5	4	9	19	5	4	9	7	2	3	2	3	15	3	8	5	15	3	6	2	6	8	5	6	7	9	4	3	8	7	8	9	7	3	6	3	1	4	9	0	3	7	1	6	7	7	0	4	1	10	12	3	3	6	16	4	9	2	5	4	4	3	4	1	0	5	7	6	2	6	2	8	8	7	3	1	9	4	3	2	2	1	5	6	10	2	6	0	0	3	2	1	1	7	2	1	5	3	1	7	4	11	24	5	7	12	4	4	4	3	4	3	6	28	1	4	7	2	4	1	
97	105	69	69	103	121	88	113	96	92	95	85	91	24	104	101	123	80	104	86	83	70	86	102	97	115	76	93	123	64	80	81	75	40	68	54	102	189	71	108	79	86	121	70	94	100	90	99	79	100	114	124	144	98	69	88	94	197	127	117	37	5	86	131	61	48	81	73	95	60	114	97	50	73	96	76	76	76	92	101	48	57	83	65	69	29	81	85	142	82	144	43	129	76	164	105	58	45	47	65	81	55	26	15	143	114	26	84	25	9	92	28	25	24	88	61	39	43	38	34	86	84	84	63	68	78	63	45	80	51	91	69	42	62	43	52	66	74	71	11	11	
29	40	35	32	50	52	35	56	40	60	43	63	58	18	69	48	58	63	51	32	31	38	51	50	58	62	39	55	42	55	48	63	39	36	43	45	79	99	64	54	49	48	66	54	67	67	52	42	44	96	52	53	51	35	50	63	26	34	67	95	38	6	34	41	33	32	48	36	51	24	34	60	24	40	44	57	42	41	50	63	28	59	44	50	31	16	15	37	40	50	50	25	72	64	67	50	23	30	27	23	18	18	18	3	104	88	25	69	19	7	64	24	4	12	51	11	20	20	35	10	51	39	39	62	35	50	59	35	44	35	57	21	24	16	59	35	24	68	39	57	37	
981	905	795	338	715	610	421	477	781	842	774	676	636	434	656	532	906	623	866	442	358	694	585	798	584	1198	752	1123	699	728	432	561	465	750	445	1203	945	1063	430	682	1021	504	679	522	747	910	1168	567	509	803	913	911	703	561	472	547	526	622	1219	744	309	82	560	601	547	514	474	850	801	433	565	684	696	524	551	661	728	889	917	714	821	799	645	932	571	724	741	620	963	683	794	312	964	636	774	542	326	953	484	308	350	475	179	325	1176	743	312	718	228	144	525	273	132	179	498	406	212	395	414	193	481	558	627	533	743	810	536	393	556	302	796	603	477	644	632	761	324	680	522	447	150	
22	16	7	9	18	13	8	7	17	20	18	17	24	16	20	14	15	18	18	10	10	19	15	27	47	16	5	26	22	8	16	12	10	23	19	12	31	40	12	20	11	11	9	12	13	59	15	18	10	26	14	25	11	9	12	20	17	11	26	7	3	3	7	5	26	13	16	13	12	11	15	27	14	13	10	29	10	19	19	25	14	16	16	15	12	7	16	23	30	7	20	4	16	2	17	9	7	8	6	4	7	11	2	2	25	16	0	6	6	3	6	7	0	1	15	16	2	8	9	2	6	14	36	32	8	12	35	17	10	7	16	8	7	8	27	7	6	18	9	46	21	
9	11	2	7	6	9	4	5	5	7	11	4	2	8	3	8	9	8	1	5	1	8	3	5	8	14	3	8	6	7	5	5	6	31	6	3	6	6	8	14	8	9	15	7	4	15	11	4	5	10	4	6	12	7	4	5	4	5	12	27	1	1	8	3	5	3	9	9	4	3	4	17	2	4	4	6	1	4	4	4	5	7	2	3	2	5	5	4	4	5	7	1	7	3	4	9	1	4	3	2	1	4	2	7	8	10	3	6	1	0	7	2	2	2	3	7	1	2	1	3	4	4	17	9	8	4	31	4	1	4	12	0	2	5	7	1	2	3	1	2	3	
9	13	4	8	10	5	8	9	9	4	12	8	9	6	6	3	7	6	8	7	6	3	4	9	9	8	9	9	8	3	5	9	4	7	4	5	14	8	5	14	3	7	6	8	8	14	10	7	4	7	20	10	5	9	2	6	13	1	6	10	2	0	6	3	5	6	16	4	7	6	7	16	3	6	8	10	11	7	9	9	1	6	5	4	6	5	6	1	7	3	10	4	8	11	11	6	4	5	4	5	7	4	3	2	9	10	3	4	2	0	6	1	0	3	8	6	5	3	3	1	5	3	10	12	2	1	22	2	5	5	1	9	5	6	4	6	5	4	3	10	2	
6	20	4	6	8	8	7	16	13	10	12	5	9	8	10	10	11	8	4	4	11	9	17	14	11	16	6	9	14	7	2	12	4	38	8	10	13	17	1	5	8	8	6	12	8	8	18	8	7	10	12	9	9	9	3	8	9	5	15	14	1	1	8	8	10	11	6	5	23	6	13	20	5	13	10	14	7	12	12	10	11	11	7	9	5	7	4	7	19	8	9	2	5	10	12	6	6	2	1	3	2	3	8	4	9	11	0	8	0	1	5	0	1	1	3	13	1	3	0	2	2	9	11	22	4	8	11	7	6	7	13	2	5	8	4	11	3	11	5	3	0	
