"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	2	2	1	2	3	1	2	1	7	8	0	12	3	6	4	2	1	1	0	5	1	1	2	0	1	1	4	1	8	5	5	8	0	2	5	0	1	1	1	3	0	7	0	0	0	1	2	0	2	1	3	2	0	3	3	4	0	
234	113	184	212	333	153	45	208	165	231	45	23	3	35	356	279	201	179	147	267	45	53	106	179	115	142	235	67	23	116	45	21	26	74	184	37	20	197	251	183	57	301	134	31	31	223	61	167	177	73	248	248	35	20	166	34	157	17	14	
9	2	8	1	4	1	4	2	9	3	9	6	0	10	7	7	2	1	5	5	5	16	3	6	2	2	9	3	8	4	15	15	21	16	5	2	0	9	1	3	1	5	3	18	18	6	3	6	0	0	6	7	2	4	2	5	1	9	0	
865	453	540	791	1188	993	1317	1019	525	714	1370	1140	396	1529	1308	824	896	1364	747	1110	1429	1703	435	634	463	460	848	1283	917	948	2153	1435	1771	2494	676	908	759	705	1063	657	918	858	515	1042	1170	764	655	639	1390	1927	2126	696	1680	1659	610	2197	604	852	1782	
20	12	21	8	6	12	11	1	10	21	0	1	0	0	21	20	7	4	18	20	1	2	6	14	11	12	15	9	1	3	4	3	4	3	9	9	0	13	2	11	0	18	8	0	0	25	6	8	3	4	4	14	11	8	8	25	6	0	0	
2	1	5	5	5	1	0	3	1	5	3	8	1	6	6	3	2	2	1	6	2	16	5	6	3	1	9	1	2	1	4	9	6	7	3	3	5	3	3	6	1	1	2	4	11	4	0	1	3	3	0	2	4	1	2	15	5	3	0	
1	4	3	3	3	2	2	4	1	4	5	5	0	7	4	2	0	1	2	0	1	26	1	3	1	1	3	6	3	4	5	6	8	9	2	1	2	0	4	3	1	2	1	7	7	0	0	0	2	0	13	4	2	3	1	3	1	4	0	
13	2	2	4	7	2	7	5	7	14	11	9	0	11	6	5	1	2	4	11	4	9	7	7	2	6	8	10	10	2	16	17	23	13	6	6	9	3	5	2	0	10	2	15	5	9	0	4	5	8	0	2	3	3	0	2	6	8	0	
