"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	4	5	11	4	5	5	11	6	5	5	4	3	5	10	0	5	6	6	7	5	0	5	9	4	2	10	4	0	2	8	7	5	3	5	6	3	6	7	9	4	4	4	9	5	8	12	5	9	6	11	4	3	5	2	1	2	0	1	1	7	
208	187	122	159	157	161	183	146	212	206	120	109	173	175	132	147	120	208	138	252	149	112	47	188	247	173	164	185	185	123	119	247	233	102	175	209	132	158	164	212	177	300	180	151	231	333	238	259	281	226	255	256	209	155	124	111	64	76	143	95	52	115	
94	77	44	58	69	70	60	46	75	59	64	60	46	54	66	58	29	76	46	101	69	29	21	77	71	73	36	87	57	41	50	82	78	27	79	71	53	42	64	77	65	70	73	57	98	91	75	89	107	83	80	77	50	74	62	41	42	56	52	68	15	57	
1110	875	637	931	824	768	958	707	1068	945	676	606	1004	760	782	649	568	966	523	1163	901	691	244	822	876	847	588	922	749	470	586	942	932	435	742	907	614	722	807	863	828	1013	800	591	1117	1110	1048	1272	1207	1054	1012	939	899	852	475	569	491	428	585	507	271	460	
16	10	5	17	14	14	23	11	23	19	15	12	17	19	13	7	11	30	14	22	16	7	6	19	22	9	11	20	9	5	6	13	7	15	14	13	10	11	14	16	14	29	13	9	30	14	21	26	28	16	23	13	13	15	4	11	6	3	11	6	6	5	
7	5	1	4	15	5	3	4	4	8	5	2	9	5	8	8	4	11	2	5	6	8	3	4	4	6	7	11	5	5	3	4	6	3	7	15	6	7	7	7	6	8	8	3	6	7	6	7	7	5	4	8	7	6	3	2	4	3	9	2	2	4	
10	8	6	10	5	9	7	4	6	5	5	5	10	4	4	4	6	8	3	8	5	8	0	3	11	5	8	6	9	2	2	2	8	3	4	7	3	6	10	9	3	13	12	6	9	20	17	8	4	5	9	9	7	4	3	2	5	2	5	2	1	4	
9	12	9	13	7	4	13	8	17	10	8	11	9	16	7	4	8	19	1	12	9	2	3	9	8	10	3	13	4	4	4	10	10	5	6	8	4	11	7	11	4	17	12	6	12	18	15	15	24	13	16	10	8	6	9	6	5	4	13	6	2	4	
