"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №2296"	"УИК №2297"	"УИК №2319"	"УИК №2320"	"УИК №2323"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2348"	"УИК №2349"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	13	11	4	3	14	3	11	13	6	7	9	8	5	10	5	8	16	13	4	6	4	7	4	8	6	7	8	15	5	9	8	4	7	9	4	6	7	4	5	0	6	9	5	14	11	6	5	2	15	11	5	10	17	10	4	5	4	7	8	1	
35	155	224	198	162	103	170	157	141	112	147	196	257	183	164	135	94	168	206	188	156	151	112	178	119	162	135	124	127	201	159	202	135	118	140	118	108	111	143	109	93	65	50	164	172	234	119	156	158	45	144	280	143	222	234	138	141	93	80	118	127	92	
17	83	56	46	83	26	72	57	74	44	59	50	61	77	81	36	37	30	47	66	63	58	58	36	74	72	56	52	75	79	99	81	66	73	55	65	61	72	58	26	65	32	22	67	69	71	50	55	65	21	51	123	49	71	81	57	72	26	19	25	33	32	
180	900	954	921	818	469	1009	871	1008	730	908	1101	1244	1180	936	886	648	711	1028	935	940	995	673	986	962	1104	853	872	930	1205	1005	1206	1026	822	904	922	782	868	920	502	660	338	344	991	1021	1170	796	928	911	384	838	1336	782	1048	1189	832	786	552	429	425	609	449	
4	32	65	57	27	33	30	33	42	19	57	43	55	46	35	32	16	49	62	41	41	34	25	40	21	20	26	30	17	42	39	48	43	29	21	18	20	23	28	10	12	12	9	34	30	50	26	32	39	4	32	54	51	57	73	19	31	15	19	39	18	21	
2	5	8	12	6	2	6	7	15	6	11	15	12	8	6	3	3	7	9	7	5	14	6	4	7	9	6	7	9	14	3	5	5	10	7	5	3	6	9	4	6	3	1	13	10	19	9	4	6	3	8	14	9	13	13	8	5	3	4	5	5	1	
2	10	18	13	5	8	17	16	11	10	9	15	7	13	6	13	6	20	27	23	18	13	11	12	9	10	9	16	9	15	8	7	8	8	12	8	2	4	9	5	5	1	1	7	14	24	10	7	9	1	10	11	24	29	20	16	10	4	5	12	5	2	
7	18	37	31	10	18	33	23	32	19	25	25	33	21	27	13	18	44	55	39	17	33	18	20	29	25	23	25	15	40	18	33	11	13	14	17	15	21	17	5	16	2	1	16	22	44	18	16	18	7	27	19	21	45	35	14	17	10	5	21	14	13	
