"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №4001"	"УИК №4002"	"УИК №4003"	"УИК №4004"	"УИК №4005"	"УИК №4006"	"УИК №4007"	"УИК №4008"	"УИК №4009"	"УИК №4010"	"УИК №4011"	"УИК №4012"	"УИК №4013"	"УИК №4014"	"УИК №4015"	"УИК №4016"	"УИК №4017"	"УИК №4018"	"УИК №4019"	"УИК №4020"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	15	10	7	8	6	7	5	9	5	8	13	2	10	10	12	10	8	11	9	3	14	20	1	7	10	2	9	11	13	8	16	7	11	8	10	7	11	5	5	8	7	7	5	15	10	15	12	10	12	4	6	4	7	4	12	18	6	9	6	6	8	7	11	7	10	8	17	5	7	6	14	17	10	8	16	9	12	13	9	8	10	16	8	13	14	8	13	8	8	14	12	9	18	6	8	6	10	9	17	7	9	8	6	8	8	4	9	3	5	14	14	3	4	3	3	3	0	
116	150	176	165	165	197	70	76	97	74	78	81	144	101	150	167	184	163	137	170	157	169	148	128	103	151	138	80	121	73	155	102	323	115	146	103	136	147	70	85	157	144	189	81	124	282	118	139	229	150	108	131	116	116	150	142	168	223	114	107	126	143	177	126	147	126	176	140	165	131	184	245	188	187	168	135	145	151	148	182	167	171	160	208	160	186	181	166	151	191	207	122	135	175	239	152	102	162	191	124	148	208	193	105	102	150	217	129	143	142	176	191	150	54	39	56	152	107	26	
58	28	61	76	91	67	38	45	46	33	43	63	50	48	64	85	85	80	58	76	68	81	49	54	38	64	53	44	78	50	58	62	97	61	64	54	61	64	30	19	55	43	59	50	62	112	31	55	60	48	42	23	23	43	35	67	48	96	49	55	38	58	48	51	51	57	43	55	62	57	52	70	64	44	60	64	58	58	43	70	75	37	65	60	45	48	52	61	54	58	61	48	59	49	74	50	69	70	62	36	50	79	73	39	34	45	42	40	27	56	60	50	59	22	18	17	54	38	16	
680	773	924	923	928	1010	489	540	545	664	600	629	806	537	932	883	1114	1010	868	885	888	943	939	884	834	904	815	452	797	610	927	748	1377	830	828	639	897	859	433	465	909	781	1109	565	799	1493	729	851	1180	940	566	631	429	769	764	939	872	1403	710	856	914	811	840	600	845	926	849	894	947	832	1026	1191	1151	993	891	920	861	1000	947	1089	1028	834	1050	999	867	972	948	981	921	1125	1032	897	835	978	921	974	965	929	1024	695	995	1353	1261	558	620	887	1049	891	729	772	1032	1130	818	459	403	408	748	524	176	
12	27	30	18	25	14	11	11	11	10	10	8	14	11	14	31	25	28	23	22	14	14	19	21	4	16	16	14	27	14	14	11	47	20	14	15	29	19	8	9	19	17	23	14	13	36	18	19	36	19	7	17	19	29	27	24	29	43	13	19	27	11	27	12	18	15	19	19	32	21	24	30	44	34	12	26	18	21	21	26	24	15	17	23	24	20	29	13	22	35	29	21	22	21	30	12	12	15	43	16	31	25	35	12	10	17	43	28	15	20	32	41	22	9	2	3	22	12	7	
7	6	8	13	13	12	6	7	5	12	16	13	13	9	10	6	10	15	13	11	15	12	15	6	1	8	8	9	6	9	12	9	19	9	5	1	10	10	7	7	11	10	11	5	13	13	3	19	10	13	4	12	4	4	11	15	10	10	4	8	10	4	5	8	12	15	15	23	10	14	9	13	16	6	10	12	9	6	14	15	10	8	7	8	17	7	10	17	7	8	15	6	8	8	8	5	6	7	5	6	9	10	10	11	7	12	7	4	9	4	10	13	6	7	6	2	3	2	0	
13	16	11	5	14	10	4	5	11	9	3	4	14	6	7	8	12	14	11	11	11	6	4	9	2	11	15	7	12	6	8	13	26	16	8	9	12	9	5	5	14	15	16	5	4	22	13	20	32	10	7	12	10	10	12	8	7	13	7	8	9	8	12	6	16	15	8	14	7	6	16	17	17	18	16	15	13	11	16	17	8	6	9	16	16	18	16	10	12	17	16	12	13	18	27	8	7	12	15	15	14	14	14	5	5	6	15	27	9	9	10	18	9	0	4	2	10	4	0	
6	9	12	10	17	11	6	8	9	5	3	7	6	4	9	7	10	17	13	17	13	11	17	20	1	18	12	5	11	12	15	9	18	8	18	12	6	14	3	3	11	7	21	5	10	12	14	9	26	25	8	9	12	21	23	22	8	27	13	17	9	16	19	9	16	14	8	18	13	14	16	13	22	19	14	9	7	17	13	20	16	21	19	9	15	19	20	10	12	14	23	14	14	15	21	8	4	4	14	1	25	18	12	9	7	13	21	10	13	13	23	15	10	4	2	5	8	5	0	
