"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1847"	"УИК №1895"	"УИК №2014"	"УИК №2020"	"УИК №2021"	"УИК №2032"	"УИК №2033"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	9	8	9	5	4	12	12	5	11	14	5	8	2	7	7	11	2	10	9	14	12	7	9	11	7	6	8	14	9	9	10	13	5	7	11	8	16	8	8	3	4	12	9	14	14	6	9	7	11	7	8	10	13	10	12	11	7	2	4	3	9	4	8	5	8	7	3	
191	206	228	242	199	73	235	219	176	254	253	199	292	131	302	106	135	131	142	226	387	222	256	215	246	160	148	226	222	175	199	171	212	231	225	191	187	251	198	220	183	195	188	190	224	215	224	232	194	238	178	219	246	119	148	211	237	297	167	153	59	317	238	131	239	265	87	21	
58	59	69	90	65	38	85	65	56	39	63	69	73	35	90	40	38	70	56	71	85	89	74	96	85	51	57	73	75	60	61	68	58	88	102	62	77	75	70	51	84	65	69	81	85	61	59	69	92	84	88	71	74	56	62	77	92	97	64	54	34	107	47	46	64	92	53	14	
841	871	972	1000	878	383	1090	1009	750	1043	1000	742	962	410	1153	477	628	681	697	882	1339	1161	1190	1039	1041	785	836	963	1018	917	957	835	764	937	1027	994	972	1014	836	901	871	856	966	870	987	996	903	925	852	1054	929	730	944	595	722	958	795	1183	890	686	279	1246	707	490	861	1052	481	61	
24	30	37	33	25	10	30	50	12	40	32	21	40	2	25	12	18	14	15	20	47	24	22	21	24	20	26	27	27	15	17	20	19	15	21	21	14	13	12	14	20	15	31	20	18	16	19	20	20	20	23	21	36	11	11	18	18	28	12	12	4	33	26	10	31	28	9	4	
2	8	11	17	7	2	8	13	7	12	15	5	13	4	9	5	8	4	7	8	8	20	11	12	13	6	6	5	11	5	9	7	4	4	5	8	9	10	8	6	13	9	10	6	12	10	3	9	6	11	10	4	8	6	5	9	5	4	9	6	1	8	4	7	3	6	3	0	
11	18	20	13	4	6	14	22	14	23	14	3	14	6	17	3	6	10	8	15	25	12	10	15	5	10	11	4	8	6	14	6	6	5	10	10	7	14	7	8	5	10	13	11	8	12	7	4	5	9	21	12	9	7	7	9	7	10	5	2	6	11	5	5	9	7	4	0	
16	18	34	24	21	9	21	38	25	35	26	5	31	8	23	3	18	15	12	22	31	24	36	27	27	14	20	5	31	19	19	13	11	12	16	17	7	19	11	17	7	22	16	11	13	16	14	12	9	15	10	14	17	9	13	22	12	17	9	4	2	23	13	6	15	13	2	5	
