"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	6	7	14	15	6	10	7	5	15	7	6	10	11	9	18	11	13	7	8	17	11	14	18	6	8	8	16	9	11	15	11	7	10	9	10	13	9	9	6	12	7	7	14	6	16	6	10	8	11	10	8	13	15	17	5	8	9	10	11	12	12	14	8	3	15	13	11	12	12	7	15	13	9	3	
77	81	76	126	93	81	113	96	73	98	96	110	127	111	61	101	65	101	105	102	108	121	112	124	80	91	90	127	110	113	110	104	103	114	76	88	104	120	79	85	99	89	73	77	83	95	108	120	143	109	117	89	112	124	112	65	73	122	83	110	115	101	116	116	71	115	115	39	135	112	73	91	163	187	32	
66	40	47	65	59	58	51	64	45	36	60	44	48	45	19	59	45	52	53	44	66	66	50	59	44	57	65	43	52	74	59	65	41	59	45	57	34	63	20	35	62	54	50	49	41	60	49	54	69	52	47	53	44	46	59	42	39	63	45	63	44	66	63	42	46	46	37	29	65	77	37	54	100	84	14	
976	842	759	1097	928	904	928	934	658	970	736	565	885	882	620	975	576	894	907	762	1138	1014	936	1146	734	848	927	948	881	1166	1127	807	1031	913	610	972	915	913	569	632	992	894	888	865	745	1034	825	959	1016	1077	1045	951	902	958	1004	693	690	917	796	932	1116	1022	1026	886	714	992	874	586	1193	1076	676	714	1221	1138	285	
47	39	31	59	42	41	52	43	27	44	44	39	42	50	33	30	26	50	40	47	42	43	41	43	42	36	40	56	55	60	61	36	58	41	24	34	52	53	33	24	28	38	32	29	55	48	52	51	80	51	59	31	37	46	69	21	29	51	20	50	61	39	64	36	23	36	52	32	55	66	47	36	37	35	13	
10	6	8	14	10	3	7	5	7	6	8	1	9	3	14	6	5	13	10	6	9	9	9	8	1	5	5	4	4	12	8	7	3	8	5	10	3	7	3	5	7	5	9	3	5	8	8	7	10	15	13	7	11	10	7	7	8	11	9	8	5	6	6	6	3	12	3	5	11	16	2	3	8	9	1	
10	11	9	25	21	16	17	14	17	24	13	19	14	19	10	19	7	27	22	13	16	27	6	22	14	15	16	21	23	28	18	12	18	13	18	16	17	12	4	20	16	16	9	18	19	16	16	15	26	13	22	13	6	24	14	11	8	25	20	24	24	18	23	17	21	20	29	8	13	29	10	9	21	14	3	
10	25	37	41	33	37	45	30	28	39	29	23	44	43	17	24	15	42	43	42	39	50	35	38	21	21	30	41	32	51	31	29	27	31	27	35	44	41	22	32	35	30	20	32	22	30	31	43	45	27	41	26	33	30	43	26	27	42	16	52	48	33	37	27	15	24	52	15	34	33	29	22	27	14	4	
