"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	14	9	1	1	12	9	14	11	9	18	4	6	6	10	15	8	9	14	12	11	21	10	9	17	5	12	2	4	8	1	7	3	12	16	9	6	17	12	5	14	10	12	8	6	8	11	8	13	4	5	9	11	7	7	7	13	5	6	3	7	3	7	4	5	1	0	13	6	16	5	5	9	10	5	5	17	12	11	3	14	
168	212	279	30	76	262	159	337	246	254	264	253	257	252	273	323	125	242	271	306	288	418	263	227	290	148	203	156	152	220	10	196	310	285	378	285	172	298	227	181	297	218	246	220	221	207	256	249	249	309	303	214	263	259	210	221	265	92	366	127	263	237	312	249	114	126	0	252	221	264	232	241	162	325	171	196	266	340	270	219	275	
64	74	99	21	31	85	83	76	91	108	150	131	117	151	114	123	59	100	140	120	95	129	121	104	157	111	97	107	105	95	4	138	196	149	121	108	104	162	119	105	126	106	128	103	103	93	98	140	95	138	149	94	142	129	115	107	132	58	125	94	129	131	121	117	59	96	0	125	159	283	106	102	106	97	45	50	113	109	87	93	71	
634	685	889	178	528	933	508	1017	806	882	910	889	833	1060	1046	1043	623	828	975	979	1101	1264	1056	793	1055	681	801	506	525	745	57	763	1014	961	1056	972	645	1108	714	665	1124	753	1002	833	862	716	780	830	786	1014	984	748	890	860	914	775	959	296	1193	497	895	887	883	723	332	489	293	924	818	1592	880	924	509	980	562	628	1159	996	955	861	1073	
21	23	42	5	7	40	25	39	32	50	24	33	28	31	41	42	24	16	21	39	33	37	33	22	31	13	17	14	9	17	2	16	24	27	31	28	16	33	18	24	46	28	32	24	17	21	20	26	18	31	17	14	26	31	18	18	36	10	56	11	18	26	13	24	7	24	0	18	16	110	14	23	16	51	23	36	51	42	22	44	49	
11	6	7	1	0	12	5	9	8	13	12	7	14	14	6	9	7	13	8	8	11	7	9	8	11	11	3	9	8	8	0	10	10	6	8	17	6	13	9	2	8	15	12	16	13	7	11	7	11	9	13	4	7	9	11	9	9	1	10	5	14	8	6	9	5	0	0	5	10	11	6	9	7	5	3	4	15	7	9	6	8	
16	8	21	1	1	10	8	25	17	13	11	13	14	20	18	17	5	19	20	18	18	16	19	14	12	12	16	10	5	10	1	11	6	11	11	12	9	14	7	9	7	6	13	7	5	15	18	14	15	17	14	11	12	13	11	9	9	3	34	3	11	9	11	9	1	2	0	8	7	20	15	12	5	34	14	21	18	16	19	14	18	
14	23	28	4	2	19	12	23	12	14	13	8	15	20	12	20	12	10	18	15	16	18	17	8	5	6	17	5	4	12	0	7	14	9	10	12	8	18	7	1	16	16	18	12	5	9	10	13	12	13	21	7	9	10	12	13	13	3	10	2	10	13	9	8	10	11	0	6	9	22	8	10	9	15	9	21	18	29	11	15	28	
