"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	"УИК №2083"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	0	6	5	10	8	4	2	11	9	17	14	20	7	17	14	8	13	2	13	16	12	3	11	1	5	12	7	3	16	12	1	7	6	18	11	23	0	10	17	6	16	4	3	2	14	9	16	5	9	12	8	5	15	15	18	7	12	11	8	18	2	5	7	10	10	15	11	14	16	2	4	1	15	6	14	5	1	1	2	3	3	2	
151	13	71	131	62	65	86	70	156	65	157	228	246	97	150	111	112	228	53	239	168	156	22	135	59	98	199	43	32	175	209	29	65	24	46	178	182	19	62	145	155	168	68	9	58	225	192	222	84	161	80	182	137	230	175	201	101	141	188	77	41	23	100	77	233	145	161	155	216	159	5	54	12	243	67	125	98	30	86	100	23	77	10	
90	14	183	63	87	142	63	26	88	77	99	129	113	121	83	87	147	117	115	122	131	112	25	143	100	124	147	103	74	139	131	150	87	52	139	112	147	98	148	179	157	112	178	55	174	107	119	89	130	148	54	140	45	158	136	148	103	149	147	79	223	194	67	65	130	110	112	87	89	104	86	50	97	183	131	70	124	209	182	52	421	55	138	
1213	801	1123	936	765	1034	485	280	859	620	1137	2096	1379	884	835	778	1153	1393	709	1630	1199	1047	230	942	683	913	1020	768	544	1207	1205	997	856	597	1031	1220	1394	672	1267	1304	936	958	1133	384	1175	1229	1091	1191	1077	989	613	1594	852	1165	1175	1164	817	1311	987	633	1304	1133	551	602	1503	1110	1215	1031	996	923	599	554	629	1260	903	762	930	1201	1155	466	811	815	468	
62	1	35	46	15	26	25	10	38	16	51	63	56	12	10	31	29	65	19	48	39	31	1	28	11	3	18	26	13	30	44	28	5	11	21	36	48	14	32	42	24	41	26	8	17	51	42	44	35	33	14	15	39	43	37	55	34	18	33	27	25	8	20	21	73	42	46	43	31	29	13	7	11	26	4	21	3	12	23	10	6	12	12	
11	0	3	6	2	2	1	5	15	3	12	4	14	8	3	7	2	4	2	21	12	12	1	4	3	5	17	6	8	16	11	22	5	8	12	20	13	1	2	11	6	8	12	5	4	11	2	12	9	9	2	5	7	13	14	15	7	7	6	9	10	4	8	12	14	11	15	10	13	9	3	3	2	13	8	5	5	1	1	1	2	2	2	
19	0	8	15	10	12	9	3	19	4	19	17	19	3	9	8	6	29	1	27	8	12	1	2	2	6	6	5	7	16	12	12	5	4	14	12	16	2	9	27	8	16	10	3	2	21	13	26	12	14	13	4	23	18	17	17	8	9	13	13	22	11	6	3	31	9	17	10	20	4	1	7	2	19	2	10	6	1	1	2	4	3	3	
36	8	5	23	8	4	18	4	16	8	23	23	13	3	13	11	7	21	2	25	18	13	1	3	5	4	6	11	5	20	12	10	4	6	34	14	17	4	3	16	4	23	3	0	4	18	26	12	9	12	9	8	20	21	15	10	12	35	15	4	30	7	7	6	27	17	13	15	17	12	2	7	1	19	29	11	4	2	1	1	1	5	1	
