"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	8	7	11	15	16	10	9	13	16	3	8	11	10	11	9	12	22	8	9	14	12	26	19	12	14	2	13	9	8	9	14	17	5	9	8	13	11	10	8	10	10	6	14	21	16	6	15	8	3	12	9	2	6	10	12	9	
32	121	233	131	164	279	258	187	94	185	220	83	94	254	148	125	133	285	132	267	258	278	269	274	267	216	238	139	120	174	134	93	195	264	198	217	161	141	199	188	144	174	124	134	198	256	250	137	241	158	99	188	147	124	167	137	252	131	
43	50	136	67	104	109	138	120	22	115	109	35	63	110	94	74	120	133	114	58	125	99	128	117	112	88	79	129	109	131	73	40	169	136	129	127	67	102	80	79	68	129	58	88	133	120	128	64	141	124	145	97	110	85	147	113	119	58	
872	627	1097	903	944	1573	1395	1085	1568	1003	1137	1250	997	1210	943	636	1045	1115	1511	987	1177	1128	1297	1219	1130	1190	1145	767	1113	922	630	975	1252	1132	939	988	1205	704	913	777	535	956	579	826	1147	1104	1087	678	997	945	994	928	952	685	964	785	1167	734	
8	27	61	29	30	26	43	30	12	34	35	16	31	35	23	19	13	34	19	74	48	60	56	43	59	6	50	32	17	25	23	20	34	28	25	29	33	25	35	46	21	34	18	25	31	37	55	15	71	22	22	27	19	14	24	19	32	20	
6	5	15	7	9	18	19	5	5	15	3	8	14	13	8	7	4	10	24	5	8	14	14	12	8	14	9	13	25	10	5	4	11	16	17	6	4	5	12	15	13	11	13	10	12	7	9	8	10	8	6	19	9	7	13	10	9	9	
5	9	11	7	18	20	12	15	13	12	17	9	8	21	9	6	1	20	28	30	17	17	15	16	21	5	18	7	21	8	10	9	10	12	13	14	4	9	13	21	8	16	6	10	4	25	17	9	24	8	6	16	13	13	13	7	13	9	
7	14	25	18	22	19	21	18	10	21	23	13	17	27	11	12	3	26	30	25	32	24	27	28	25	7	23	9	10	13	10	19	34	10	12	16	14	19	24	26	18	16	18	9	20	28	25	15	24	14	7	11	17	9	13	14	19	20	
