"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1425"	"УИК №1426"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №2233"	"УИК №2254"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2301"	"УИК №2302"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	3	7	0	12	6	5	9	10	7	5	7	4	9	9	9	5	4	3	2	0	6	8	11	16	13	15	16	15	14	14	10	30	13	15	11	5	12	12	11	19	14	8	5	8	15	2	11	14	14	15	3	14	12	12	15	9	23	14	6	10	12	19	8	6	18	6	4	13	7	10	7	16	16	0	12	13	14	12	14	15	7	2	
125	94	211	175	28	174	172	99	166	149	153	132	96	86	194	209	149	96	85	117	130	45	130	115	187	182	133	175	211	233	183	224	117	243	275	296	239	189	241	196	259	275	189	196	220	189	222	131	160	169	233	135	133	166	191	226	131	165	228	248	168	199	164	250	223	141	258	271	192	257	208	223	220	268	190	5	303	230	295	209	200	250	237	63	
81	70	110	108	29	126	106	94	85	104	113	59	48	42	112	97	78	52	65	73	72	43	63	85	83	57	68	82	99	109	78	96	89	129	111	115	115	57	127	100	110	128	90	86	120	82	92	56	85	104	107	90	78	100	111	97	94	88	151	143	103	96	76	138	130	88	132	98	92	115	114	102	90	111	81	7	90	111	93	113	114	89	100	53	
553	607	792	869	161	806	921	492	776	820	812	627	447	432	808	1142	714	493	460	498	586	258	657	662	975	983	738	841	1136	1234	908	955	845	1256	1101	1159	1100	691	1082	912	1138	1206	1030	1042	1013	844	1087	544	919	1004	1249	897	693	920	974	1064	904	933	1264	1256	960	1019	928	1343	1166	827	1136	1312	950	980	1121	950	871	1334	862	353	1098	1046	1094	967	1094	1076	858	376	
12	14	19	14	7	15	14	13	26	15	10	15	9	14	20	24	12	16	10	7	7	3	17	19	23	23	24	18	31	32	23	23	21	33	45	59	46	19	25	19	27	37	23	30	26	22	33	17	20	25	31	18	22	28	26	27	36	27	47	40	31	23	31	31	25	26	51	70	29	29	28	34	27	42	34	15	53	36	76	28	32	45	25	10	
8	10	10	13	0	4	8	5	6	4	9	9	3	9	8	5	12	5	3	6	4	4	11	9	7	7	3	15	17	16	5	10	10	11	19	12	10	6	6	6	21	10	10	15	21	9	8	7	12	11	4	14	8	10	5	4	7	7	15	11	7	12	7	10	12	16	9	13	14	10	13	15	12	6	14	0	12	7	13	9	14	13	8	1	
4	3	8	6	0	8	10	4	4	7	6	4	8	6	13	12	6	6	2	3	4	1	6	13	9	18	7	9	18	17	13	8	7	19	22	20	12	6	27	15	18	13	16	12	11	6	16	8	7	4	16	13	4	11	12	19	9	11	13	15	13	17	9	23	14	9	15	30	14	21	13	17	12	18	15	1	15	11	22	15	10	25	5	2	
8	2	9	4	2	5	13	3	7	6	6	13	2	4	6	11	5	4	2	7	4	1	10	10	20	24	21	20	15	22	16	16	16	19	18	25	11	14	9	17	25	16	15	14	24	25	17	8	15	21	28	14	11	23	22	23	26	30	23	18	25	15	17	15	14	12	24	26	17	13	19	12	12	22	19	0	22	15	29	16	18	13	16	3	
