"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	3	3	0	3	3	2	2	1	1	4	3	4	4	3	0	5	4	2	2	1	2	0	0	2	3	2	2	1	1	2	1	3	5	2	2	2	1	3	1	2	2	2	2	4	3	0	2	1	4	5	5	3	2	3	0	0	1	3	0	5	4	0	0	1	1	0	1	2	0	
22	15	31	53	31	36	28	46	19	22	31	28	33	23	20	22	17	28	38	18	13	21	29	28	16	23	38	54	27	20	12	25	15	51	18	29	36	23	49	35	31	14	20	19	36	24	32	22	27	30	36	18	42	49	28	45	18	21	40	42	31	24	11	4	2	18	0	2	3	8	1	
13	18	15	45	11	24	25	43	12	16	31	24	31	15	16	16	18	26	34	13	16	32	16	13	28	20	14	41	23	18	7	14	4	34	32	24	43	28	24	24	11	31	16	12	32	23	33	13	31	26	23	23	42	41	18	28	27	15	20	20	34	22	45	3	3	9	1	0	1	2	1	
675	653	1203	1650	1226	1335	1536	1931	805	819	1485	1397	1591	1432	1024	906	1271	1274	1399	1005	515	1523	905	929	1357	1071	1214	1906	1083	1085	337	1230	342	1128	1495	2149	1774	1380	1648	1462	768	1322	1382	1870	1860	1400	1337	768	1491	1226	1330	1195	1573	1487	1087	1665	1180	1069	1106	1370	1514	1751	2034	141	121	527	48	27	97	405	30	
16	17	15	30	20	18	24	26	13	12	14	21	21	19	4	15	8	13	15	9	16	25	12	7	18	21	6	21	22	21	39	27	46	7	14	16	21	14	22	20	16	11	20	26	23	19	17	10	29	21	20	19	24	10	25	20	9	14	19	15	27	11	14	6	7	25	0	1	4	8	4	
4	1	3	4	2	2	4	5	1	6	1	0	2	0	1	2	2	4	3	3	4	3	1	1	4	3	7	3	3	3	1	0	0	0	3	1	1	1	4	2	2	0	1	2	7	0	2	0	3	2	2	2	3	5	2	5	0	2	3	8	2	1	3	0	0	0	0	0	0	1	0	
1	2	4	7	4	4	6	8	4	1	7	3	4	3	1	1	3	3	8	1	0	6	6	3	7	9	4	10	7	1	2	2	3	1	4	4	3	2	1	6	7	6	3	6	4	3	5	1	7	3	7	5	7	3	2	11	7	9	11	10	8	8	12	1	1	0	0	0	1	1	0	
4	6	5	6	4	8	10	5	3	4	3	8	3	4	7	9	4	3	4	4	5	6	4	3	4	7	3	7	6	4	10	5	15	7	8	5	14	5	6	5	4	6	4	4	8	5	3	3	10	10	13	2	9	2	8	3	9	8	4	4	1	2	2	5	0	8	1	0	4	4	0	
