"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1388"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1910"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	0	1	1	7	3	1	5	2	0	0	2	1	0	1	2	0	0	2	0	4	0	0	2	5	5	0	1	0	2	4	2	0	0	2	7	0	0	1	0	6	0	2	2	1	0	0	5	7	5	3	0	4	5	5	4	4	9	6	0	4	3	7	1	4	0	1	0	2	3	1	0	0	0	0	1	0	1	1	3	3	1	4	0	0	
37	12	8	117	28	126	134	92	136	32	4	2	6	8	1	37	11	9	3	17	0	53	25	10	12	39	40	3	10	4	35	77	46	10	14	0	69	4	9	4	23	20	14	24	47	9	16	20	150	93	132	150	60	140	70	135	98	134	89	78	23	49	98	126	122	81	9	71	115	99	116	37	20	2	11	10	73	12	74	72	67	74	77	64	74	5	
34	26	14	46	31	75	58	60	66	34	15	6	31	33	10	23	27	5	8	12	1	36	26	8	11	45	26	4	22	10	31	60	31	2	14	1	17	12	26	9	12	22	11	18	15	5	12	25	74	52	59	85	34	60	42	59	41	47	45	33	12	36	49	59	74	41	7	45	65	63	41	45	15	7	11	27	47	17	36	37	49	36	31	43	41	4	
232	94	57	402	116	501	344	281	515	223	84	38	232	114	68	212	197	83	53	149	50	339	153	47	124	451	261	98	162	52	236	488	385	76	105	90	210	75	113	79	229	317	46	165	163	59	43	148	552	492	556	617	360	573	309	513	452	576	473	346	93	244	369	448	540	288	73	283	400	396	304	308	98	49	188	231	341	168	301	269	251	266	239	282	265	202	
1	1	0	3	3	7	2	3	6	0	1	0	4	2	0	3	2	1	0	2	0	2	3	0	1	2	3	0	1	0	4	2	6	0	0	1	1	0	1	0	0	1	0	1	4	0	0	0	5	7	7	12	2	8	0	6	5	8	5	2	1	1	2	1	4	2	0	0	3	5	3	3	0	0	0	2	4	2	1	3	2	3	4	1	1	4	
5	0	0	3	3	1	3	4	4	0	0	0	2	1	1	1	0	2	0	0	0	1	2	0	0	3	1	0	0	2	2	1	4	1	2	3	2	0	0	0	13	5	2	2	3	0	2	0	7	6	6	7	3	1	2	8	6	3	7	2	5	4	2	3	5	4	0	2	3	4	4	2	0	0	0	0	1	0	2	2	3	7	1	1	5	0	
0	1	0	4	0	6	5	5	5	0	0	0	3	1	0	3	1	0	0	1	0	2	1	0	2	1	2	0	1	1	3	2	4	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	5	1	2	6	3	1	1	1	0	2	2	5	0	1	3	2	3	3	0	2	3	5	2	2	0	0	0	0	3	1	1	0	1	1	0	1	3	0	
4	0	0	3	1	3	1	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	2	0	1	2	0	0	0	0	2	0	0	2	0	2	1	1	1	0	0	0	3	2	6	2	1	9	1	5	4	0	6	0	0	1	2	3	0	3	0	3	2	0	3	0	2	1	1	1	0	0	1	0	1	2	4	2	3	1	
