"УИК №5001"	"УИК №5002"	"УИК №5003"	"УИК №5004"	"УИК №5005"	"УИК №5006"	"УИК №5007"	"УИК №5008"	"УИК №5009"	"УИК №5010"	"УИК №5011"	"УИК №5012"	"УИК №5013"	"УИК №5014"	"УИК №5015"	"УИК №5016"	"УИК №5017"	"УИК №5018"	"УИК №5019"	"УИК №5020"	"УИК №5021"	"УИК №5022"	"УИК №5023"	"УИК №5024"	"УИК №5025"	"УИК №5026"	"УИК №5027"	"УИК №5028"	"УИК №5029"	"УИК №5030"	"УИК №5031"	"УИК №5032"	"УИК №5033"	"УИК №5034"	"УИК №5035"	"УИК №5036"	"УИК №5037"	"УИК №5038"	"УИК №5039"	"УИК №5040"	"УИК №5041"	"УИК №5042"	"УИК №5043"	"УИК №5044"	"УИК №5045"	"УИК №5046"	"УИК №5047"	"УИК №5048"	"УИК №5049"	"УИК №5050"	"УИК №5051"	"УИК №5052"	"УИК №5053"	"УИК №5054"	"УИК №5055"	"УИК №5056"	"УИК №5057"	"УИК №5058"	"УИК №5059"	"УИК №5060"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	4	10	5	0	5	1	6	5	4	12	2	5	6	4	8	2	2	4	7	5	3	3	6	1	0	4	11	4	4	9	10	1	1	1	3	5	2	5	2	1	9	6	7	0	4	3	2	1	2	5	2	2	0	3	8	4	2	3	
130	50	168	124	141	87	128	142	91	135	124	212	88	104	140	211	70	77	96	122	238	114	156	125	88	99	29	153	207	122	82	187	272	11	34	76	72	255	26	171	44	41	184	116	136	21	150	199	140	71	28	117	94	97	162	81	254	109	108	102	
84	53	89	42	55	21	47	65	42	44	48	61	49	46	53	62	61	34	29	56	89	41	66	55	46	41	18	66	92	58	42	55	98	4	19	39	45	78	23	100	54	23	69	72	43	28	82	78	62	29	8	33	39	27	81	31	65	21	35	40	
712	578	1207	748	667	470	583	851	726	580	593	1172	425	608	828	867	368	762	441	616	1389	633	732	707	489	466	346	1018	1525	949	806	1057	1222	221	250	1616	626	1385	311	1121	480	537	819	644	649	243	669	1389	852	1204	424	785	619	575	748	465	1054	673	827	434	
25	3	8	5	3	5	7	16	6	11	7	16	2	3	12	9	5	5	3	8	9	4	3	12	6	1	0	13	7	10	9	6	6	1	1	3	5	7	3	8	5	4	9	8	3	3	2	10	6	4	1	1	4	5	8	1	8	6	4	3	
3	6	9	4	5	5	7	3	7	4	7	9	3	2	11	8	0	2	2	5	6	6	8	8	3	7	1	6	16	2	5	9	17	1	7	2	3	8	1	3	4	3	7	5	5	2	7	12	7	3	3	7	6	1	12	4	6	2	4	0	
14	2	4	9	4	12	7	4	7	3	2	7	1	1	7	6	1	5	3	5	12	6	5	7	4	3	1	10	7	4	2	4	10	0	2	5	6	6	2	7	5	1	2	9	2	2	7	4	3	2	2	4	4	4	4	5	11	2	1	3	
7	2	4	2	7	3	5	6	4	0	6	5	0	6	7	3	5	3	0	1	10	2	3	5	1	1	1	6	5	1	1	5	5	0	0	2	0	2	0	4	0	1	3	4	5	2	1	3	1	0	0	0	1	1	6	7	1	3	0	1	
