"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	0	7	10	5	4	2	2	0	1	0	2	1	0	6	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	5	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	2	0	1	1	2	1	0	1	1	0	
113	224	210	250	330	263	299	367	80	30	6	0	22	20	11	10	4	16	6	4	9	9	4	5	8	17	7	24	6	11	47	41	11	194	2	12	12	4	9	16	13	9	12	23	12	24	8	10	10	4	2	13	12	7	10	12	5	9	23	12	3	14	6	14	6	11	11	13	10	14	10	
31	28	37	28	44	41	42	37	14	7	2	2	5	4	4	0	2	1	2	0	2	1	1	1	2	1	1	4	0	5	9	26	3	14	1	1	2	1	0	1	1	2	0	3	1	0	2	0	2	3	4	3	0	1	3	1	1	1	2	5	4	1	0	1	2	2	5	1	2	8	0	
605	651	719	1058	848	843	839	1008	780	826	222	125	701	580	349	546	346	581	225	221	332	261	192	208	268	364	246	630	150	381	353	340	671	533	285	300	374	169	232	307	275	346	202	555	439	593	253	220	339	417	213	547	247	512	476	272	183	378	653	415	266	381	146	445	169	275	475	290	467	619	345	
10	15	19	13	15	10	24	17	5	0	2	1	6	0	4	5	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	5	7	16	2	0	2	3	2	0	1	1	0	1	1	2	2	0	1	1	0	1	0	1	1	1	1	1	1	0	1	2	1	1	0	0	4	1	1	4	0	
5	6	9	3	12	9	14	17	1	0	0	1	2	3	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	3	0	8	2	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	2	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	
5	8	1	2	6	7	4	6	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	
3	10	12	5	10	17	8	12	1	0	0	0	1	4	0	7	2	1	1	1	1	0	0	0	1	0	1	3	0	0	0	0	0	7	1	0	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	2	0	0	1	1	0	0	1	0	0	1	1	1	0	1	4	0	
