"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №372"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	3	6	9	0	3	1	4	4	9	6	3	2	0	4	1	10	8	4	0	0	1	6	3	2	4	3	10	0	0	2	2	0	6	4	10	2	2	0	2	0	7	6	4	0	0	0	0	3	4	2	1	2	12	2	3	3	0	6	1	2	2	0	0	2	1	2	1	2	
242	136	109	311	124	120	116	89	154	120	215	82	101	146	182	100	77	264	474	218	158	85	116	272	132	210	223	85	168	114	296	210	196	223	150	117	268	108	226	72	164	52	332	241	110	60	185	93	46	215	165	159	76	118	433	168	185	218	98	153	49	38	1	1	1	5	4	2	10	13	
18	40	41	25	14	0	35	15	60	9	17	38	41	15	0	16	21	26	41	22	55	0	28	45	21	29	61	13	31	44	0	22	2	24	11	36	18	17	70	0	15	3	33	47	26	0	1	0	0	60	40	45	21	19	45	3	23	53	19	22	8	30	1	1	0	4	2	3	6	4	
1272	1192	861	1308	1197	2293	911	875	1632	1116	1251	629	1310	958	2094	581	598	1324	1636	900	1870	814	843	1658	2220	1836	1735	675	1283	1773	2200	2188	2471	2426	1353	1202	1364	596	1864	801	1470	729	1051	1196	1047	1121	1649	1775	2542	1548	1146	1250	664	640	1654	1310	1280	1689	1145	1014	418	260	63	178	178	281	240	186	576	478	
12	2	1	14	0	0	0	0	0	2	20	0	0	0	0	3	0	12	21	33	0	0	0	25	0	0	0	1	17	12	0	0	0	0	6	0	8	6	0	0	0	0	37	12	0	0	0	0	0	0	2	0	0	0	24	0	0	0	0	44	6	10	0	0	1	0	0	0	0	0	
6	47	46	18	12	0	50	11	54	6	9	5	48	10	0	2	25	17	32	12	0	0	29	20	19	20	60	8	10	1	0	17	2	14	10	40	14	12	63	3	9	1	19	21	28	0	1	0	0	63	37	30	17	19	14	2	7	7	11	4	4	2	0	0	0	4	0	2	3	0	
0	19	26	6	1	0	19	1	23	4	6	0	15	7	0	6	21	11	12	10	112	1	19	9	4	0	23	2	5	3	0	0	3	0	2	3	2	1	28	0	8	2	7	1	11	0	0	0	0	26	19	22	19	25	7	0	8	20	10	5	2	1	3	0	0	4	3	5	4	3	
1	3	3	5	4	0	2	4	2	1	5	3	1	2	0	6	3	12	22	13	0	0	3	8	0	3	4	2	4	1	0	3	0	2	4	3	4	3	3	0	2	1	15	8	3	0	0	0	0	5	2	5	2	3	15	3	4	5	2	43	1	3	0	0	0	0	0	0	0	0	
