"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

22	16	11	12	10	5	9	5	10	13	5	7	10	15	2	18	8	16	3	8	9	3	8	2	0	15	0	2	6	13	5	9	17	5	2	2	0	5	8	2	7	5	1	6	4	0	1	2	10	1	6	6	0	2	6	3	15	13	13	0	6	5	3	20	5	16	22	8	7	8	3	4	6	4	4	
309	236	55	208	239	129	209	138	173	276	218	137	76	215	201	146	166	255	36	188	160	150	168	96	134	173	14	57	18	243	153	243	203	140	39	128	96	68	162	31	237	143	39	122	84	16	49	36	190	61	26	75	75	38	50	96	74	182	226	60	118	7	86	153	184	216	223	346	122	391	173	164	148	87	48	
105	77	52	60	68	41	65	58	77	197	69	148	81	60	36	119	52	90	30	58	50	58	102	35	52	69	26	38	60	64	51	176	100	125	16	19	11	28	71	27	85	70	28	52	44	29	34	16	67	46	32	47	2	27	34	31	41	65	80	50	53	39	41	57	78	90	94	83	42	74	42	43	49	121	20	
1898	1810	1604	1203	1635	956	1349	940	863	1169	1182	1989	1931	1200	1591	1637	872	1594	267	1070	1533	1376	2020	1239	1446	992	287	695	1081	1296	1727	1756	1719	819	485	1970	928	492	1352	1661	1395	910	338	1418	843	370	450	525	1786	1196	525	1427	1520	505	485	579	1114	1191	1213	811	1437	678	1275	1966	1750	1479	1740	1258	1544	1095	1319	1231	800	1849	416	
38	33	19	33	31	19	15	17	21	28	21	4	9	35	29	33	23	28	5	29	13	18	29	9	9	16	0	6	5	14	17	16	17	18	0	7	3	8	7	2	9	16	3	10	8	3	2	6	12	6	1	7	0	10	5	3	7	12	20	3	12	6	3	14	25	29	28	23	13	16	13	28	23	12	2	
16	10	5	10	11	9	6	5	13	17	11	3	7	6	3	10	4	15	0	4	7	9	10	5	6	9	4	2	10	13	1	11	12	9	1	16	2	6	15	4	10	13	1	6	8	2	2	4	13	8	3	8	0	7	3	3	3	9	3	2	6	5	6	6	8	8	16	6	10	10	6	7	8	3	5	
35	15	9	19	19	12	19	15	20	25	21	5	12	16	21	8	13	17	2	20	13	17	17	3	9	10	0	7	14	10	6	11	21	6	1	8	1	3	11	4	13	12	1	9	3	1	2	1	13	5	1	11	2	4	3	2	5	17	23	13	19	7	3	4	8	24	12	13	8	16	9	16	11	9	3	
34	15	11	22	18	4	13	8	7	18	28	10	9	7	16	12	9	23	2	11	14	8	8	5	4	7	0	6	9	6	13	12	8	5	0	1	3	5	10	1	5	4	2	5	3	1	0	1	29	1	1	7	1	3	1	1	2	11	12	2	10	3	8	12	8	8	13	11	0	16	5	9	9	3	2	
