"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	15	6	16	5	8	5	7	8	3	8	6	4	7	8	12	3	2	3	15	7	13	15	12	15	20	19	3	13	14	7	7	1	5	11	10	6	11	12	8	13	5	16	6	6	13	4	23	8	14	16	8	9	12	8	6	9	18	15	11	8	5	11	3	6	12	6	10	14	12	2	0	12	9	
63	122	187	153	67	169	141	130	75	144	77	210	188	172	110	178	133	127	128	115	96	181	188	165	199	285	128	233	110	118	89	116	193	202	111	242	109	182	247	58	189	268	203	192	200	165	124	149	110	164	293	115	106	146	280	312	188	234	266	271	246	280	202	262	378	221	232	290	237	275	175	71	2	357	283	
27	63	32	65	42	67	51	35	86	41	28	73	41	45	42	76	61	78	90	52	67	33	73	39	62	105	67	63	33	33	43	23	51	57	84	65	45	32	58	61	73	95	62	48	71	19	62	46	68	46	61	57	74	24	74	56	33	48	61	64	67	96	49	65	23	60	92	45	62	58	23	22	2	50	69	
1118	712	964	832	955	1026	764	649	867	1120	802	1023	920	1125	1111	790	946	1027	1024	1152	1194	1100	1080	1083	981	1191	1272	1157	1169	1264	1301	1156	671	1750	1202	1039	1093	1134	1080	1261	1013	1146	785	1040	897	1106	952	983	1431	1477	1081	1262	1238	1047	1145	1002	971	955	1123	1082	1052	1050	618	1189	1396	902	964	1408	1287	1086	1317	546	74	1134	1253	
10	27	21	33	13	40	34	15	31	2	18	36	31	30	29	39	13	23	35	23	29	15	68	3	46	72	49	49	19	18	12	18	38	12	33	42	17	20	55	19	49	82	30	24	39	4	46	3	47	29	57	26	29	22	63	96	17	55	70	70	46	67	42	53	31	33	62	63	67	61	73	11	1	117	94	
16	8	19	9	20	7	10	6	11	16	7	12	14	8	6	10	6	3	7	6	15	5	30	5	6	17	35	16	9	12	16	11	9	2	7	13	12	7	14	18	10	20	13	14	18	10	12	5	14	4	14	25	14	12	10	10	9	11	13	20	12	16	7	17	4	6	20	8	14	12	11	4	0	20	9	
11	12	11	13	19	5	11	2	2	1	7	16	19	18	10	13	10	3	5	10	23	5	22	8	17	16	16	16	12	9	13	7	12	2	20	14	8	8	13	61	14	17	11	15	21	8	12	6	16	13	13	15	5	11	20	27	7	18	21	19	9	26	11	24	5	6	17	14	16	20	18	2	1	39	32	
16	10	22	22	21	25	19	12	19	23	17	30	25	23	11	25	12	4	2	22	17	20	49	4	34	39	22	30	20	5	15	15	17	8	31	44	20	16	33	29	42	42	18	26	31	33	20	7	35	29	37	25	45	16	40	48	14	39	51	46	30	42	29	37	14	11	29	42	50	45	49	10	1	60	54	
