"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №2381"	"УИК №2620"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	3	3	1	3	0	2	6	6	3	2	0	1	0	0	1	2	1	0	2	0	2	0	1	4	2	3	19	3	5	17	14	0	1	0	1	0	3	2	1	2	0	0	3	1	7	9	4	6	13	1	1	0	4	0	6	8	0	0	1	1	3	0	2	16	3	10	0	1	3	1	1	1	2	1	7	1	8	0	1	1	5	0	0	0	
8	17	64	45	23	24	9	19	83	109	67	33	7	8	3	2	17	13	45	9	14	30	52	5	6	42	85	77	83	39	60	142	227	43	49	14	54	51	31	5	1	12	24	0	16	29	144	147	161	103	100	45	51	11	53	8	98	64	33	34	39	77	60	9	38	51	68	90	16	15	31	1	13	1	18	8	115	69	81	4	13	5	27	0	2	6	
15	23	36	26	23	14	11	30	34	55	45	17	5	7	6	2	13	19	31	2	9	13	37	7	10	10	37	28	60	35	27	75	92	21	16	12	17	21	19	5	8	13	16	1	19	21	78	84	68	97	39	24	14	2	22	12	48	43	27	13	26	40	22	9	19	37	35	40	4	2	38	2	7	2	2	11	49	37	52	4	3	2	21	12	1	12	
127	321	670	668	601	497	171	473	585	829	685	459	121	240	36	99	206	206	771	158	531	285	810	99	118	432	654	522	981	570	719	1560	1557	469	245	181	526	396	591	152	224	187	431	196	330	611	1315	1631	1208	1310	1041	361	659	314	842	425	916	659	564	187	305	545	449	78	210	504	510	636	98	145	456	123	123	82	115	272	815	648	912	76	103	69	276	70	75	115	
0	3	2	2	2	3	0	1	4	3	4	3	1	0	0	0	1	1	3	2	2	2	2	0	1	3	7	2	20	4	4	11	24	2	4	0	6	2	4	0	1	1	4	0	2	3	5	14	14	12	10	4	1	0	5	2	12	10	3	2	3	1	3	0	2	10	4	3	1	2	1	1	0	4	3	1	13	2	2	0	0	0	0	1	4	0	
1	1	6	3	5	2	2	7	10	5	3	0	1	0	0	0	3	0	0	3	7	3	5	1	3	2	3	6	13	6	5	12	15	1	1	5	1	2	2	0	0	2	2	0	1	5	9	8	12	11	7	0	5	1	3	0	9	5	3	2	6	3	2	0	3	10	6	8	3	0	8	0	0	0	0	5	5	3	8	0	0	0	2	0	0	1	
0	0	2	0	0	1	1	1	0	8	2	0	0	0	0	1	2	1	1	1	1	3	1	1	1	2	0	1	14	4	1	3	12	2	1	0	2	4	0	1	3	0	2	0	2	2	7	10	6	2	7	1	4	0	3	1	10	2	2	0	0	7	3	2	1	11	2	2	3	0	0	0	0	0	0	1	5	0	5	0	0	1	0	0	1	0	
0	1	2	2	0	1	0	2	0	2	5	1	0	1	0	0	1	0	1	2	0	1	1	1	0	2	2	3	20	0	1	6	24	3	1	0	0	0	0	0	0	1	1	0	0	0	1	5	3	3	6	3	0	0	0	1	3	3	0	2	2	6	3	1	1	10	4	3	0	0	2	0	0	1	0	0	6	4	1	0	0	0	1	0	2	1	
