"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	3	1	1	1	2	0	1	0	1	0	0	0	1	1	0	2	1	1	1	0	0	2	2	0	1	1	0	5	1	1	0	0	0	0	1	5	1	0	2	0	2	1	1	2	0	3	0	1	1	0	1	0	0	0	1	5	0	0	0	4	4	0	0	1	1	1	
53	48	32	57	53	59	51	42	41	29	27	44	31	21	31	11	8	9	2	43	22	9	2	24	11	3	1	3	0	81	0	1	3	16	5	12	58	84	28	7	79	16	10	38	4	7	4	16	1	4	1	4	6	4	4	3	7	67	7	7	6	80	43	19	38	2	40	6	
17	17	18	16	16	22	19	26	9	28	11	17	23	12	21	22	13	3	7	13	2	5	4	27	5	1	1	19	6	56	0	1	9	5	2	6	40	33	13	4	17	3	14	19	8	5	3	23	6	7	5	17	8	5	9	10	5	34	3	28	10	52	31	13	17	2	18	6	
200	206	218	225	185	275	222	237	196	188	214	232	172	173	181	90	56	50	62	200	60	44	81	473	146	63	60	126	40	464	32	62	74	50	47	36	407	355	151	48	266	53	89	187	119	60	45	213	108	132	55	84	74	22	84	97	104	390	97	126	90	339	303	118	258	34	336	51	
0	2	4	3	1	1	0	1	0	2	1	0	1	0	1	1	0	0	0	2	0	0	0	2	1	0	0	2	0	1	0	0	0	0	1	0	2	2	0	0	1	0	3	2	0	1	0	1	0	0	0	1	1	1	2	1	2	3	0	0	2	1	0	2	2	0	0	0	
1	3	1	3	3	1	0	1	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	1	0	0	0	0	1	0	1	0	0	0	0	0	4	1	0	2	1	0	2	1	0	0	0	0	1	0	2	2	0	2	0	0	1	0	0	0	5	3	0	2	0	1	0	
0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	3	0	0	0	0	1	0	
1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
