"УИК №1956"	"УИК №1957"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №3605"	"УИК №3606"	"УИК №3908"	"УИК №3909"	"УИК №3910"	"УИК №3911"	"УИК №3912"	"УИК №3913"	"УИК №3914"	"УИК №3915"	"УИК №3916"	"УИК №3917"	"УИК №3918"	"УИК №3919"	"УИК №3920"	"УИК №3921"	"УИК №3922"	"УИК №3923"	"УИК №3924"	"УИК №3925"	"УИК №3926"	"УИК №3927"	"УИК №3928"	"УИК №3929"	"УИК №3930"	"УИК №3931"	"УИК №3932"	"УИК №3933"	"УИК №3934"	"УИК №3935"	"УИК №3936"	"УИК №3937"	"УИК №3938"	"УИК №3939"	"УИК №3940"	"УИК №3941"	"УИК №3942"	"УИК №3943"	"УИК №3944"	"УИК №3945"	"УИК №3946"	"УИК №3947"	"УИК №3948"	"УИК №3949"	"УИК №3950"	"УИК №3951"	"УИК №3952"	"УИК №3953"	"УИК №3954"	"УИК №3955"	"УИК №3956"	"УИК №3957"	"УИК №3958"	"УИК №3959"	"УИК №3960"	"УИК №3961"	"УИК №3962"	"УИК №3963"	"УИК №3964"	"УИК №3965"	"УИК №3966"	"УИК №3967"	"УИК №3968"	"УИК №3969"	"УИК №3970"	"УИК №3971"	"УИК №3972"	"УИК №3973"	"УИК №3974"	"УИК №3975"	"УИК №3976"	"УИК №3977"	"УИК №3978"	"УИК №3979"	"УИК №3980"	"УИК №3981"	"УИК №3982"	"УИК №3983"	"УИК №3984"	"УИК №3985"	"УИК №3986"	"УИК №3987"	"УИК №3988"	"УИК №3989"	"УИК №3990"	"УИК №3991"	"УИК №3992"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	2	2	6	9	7	5	13	6	6	8	8	10	10	8	5	2	7	8	7	5	11	8	0	6	9	5	3	5	8	10	5	4	6	8	7	7	2	9	9	13	3	7	4	4	7	4	6	3	1	4	9	1	11	10	7	6	5	5	9	4	2	8	4	6	3	6	8	5	4	8	6	3	6	16	9	10	2	25	6	8	7	5	7	2	12	9	7	6	4	3	1	2	7	6	4	12	4	9	4	6	5	2	6	2	6	3	3	14	13	8	5	7	3	2	2	4	
13	49	82	83	110	60	73	101	113	86	110	83	148	78	66	52	79	118	109	79	80	114	120	45	100	74	79	116	120	116	166	116	85	63	172	125	97	48	33	122	136	78	70	69	71	66	63	78	70	40	86	92	55	113	94	142	79	82	134	122	119	96	136	137	58	115	93	133	134	48	177	260	98	120	142	121	73	73	166	97	80	99	107	132	43	106	147	114	59	83	81	58	45	112	93	84	132	64	116	98	89	117	62	109	29	118	139	145	112	183	157	85	108	79	43	80	93	
9	40	55	51	53	29	53	41	54	55	47	52	64	37	26	23	27	76	51	32	49	50	52	22	44	28	25	45	46	54	58	55	44	27	50	40	30	34	18	63	54	20	25	59	38	29	37	37	26	17	30	27	26	58	24	33	34	26	31	34	29	35	39	37	34	27	24	57	37	11	38	51	25	49	52	42	33	32	104	54	39	48	59	55	14	46	48	72	34	55	39	13	31	39	49	28	91	33	55	60	51	89	20	59	16	29	37	51	28	48	65	50	57	48	33	37	41	
617	363	458	409	443	453	515	450	644	639	491	576	1209	637	620	556	575	724	606	494	470	613	825	498	653	573	552	554	793	805	1028	839	538	440	774	663	882	1516	365	807	837	420	819	565	412	354	481	420	394	240	493	451	331	749	578	602	525	534	637	616	580	528	666	693	882	687	649	708	1090	284	640	804	504	751	763	705	456	483	1111	681	502	726	669	744	383	665	612	789	508	598	560	350	335	507	509	457	857	429	683	725	522	856	358	711	351	764	850	850	827	1071	798	655	712	649	564	748	625	
4	13	7	12	9	17	13	21	18	5	15	14	20	11	15	12	11	27	9	8	18	16	13	25	31	17	25	42	31	24	28	20	11	14	27	20	11	14	11	21	18	9	6	10	7	9	10	7	6	10	14	17	13	31	20	31	31	18	35	53	26	23	36	33	21	27	23	30	42	25	20	38	25	21	16	21	9	27	31	17	16	32	15	23	14	31	39	18	7	16	13	7	10	3	13	13	32	13	11	5	10	13	9	12	10	18	33	16	16	29	52	11	14	8	11	6	38	
0	3	0	8	7	8	5	12	5	5	6	6	8	4	7	2	7	7	10	4	6	4	2	5	5	6	3	6	7	5	8	4	3	3	9	4	6	7	4	7	12	4	4	7	1	1	3	5	3	5	4	2	3	3	4	5	5	9	7	1	7	8	3	10	2	7	8	5	10	1	7	10	1	7	6	6	2	3	5	2	3	2	7	8	2	6	1	8	6	3	7	4	1	8	4	4	6	5	6	5	3	7	5	3	3	3	4	8	6	15	8	3	5	4	5	3	4	
6	5	9	9	10	3	11	12	11	3	6	11	11	5	4	5	7	8	10	6	4	12	4	6	13	8	7	12	7	8	16	10	7	5	19	10	6	2	3	15	9	4	5	6	5	6	6	2	4	3	9	13	7	17	10	13	6	5	22	18	12	12	11	10	5	11	7	14	17	4	13	12	12	13	7	12	3	11	10	5	7	14	9	12	8	9	17	7	0	7	4	6	4	4	8	3	7	3	8	3	8	13	6	6	3	12	7	10	8	23	16	8	4	10	5	6	6	
5	3	6	6	5	5	8	14	16	12	11	6	15	8	8	6	6	14	4	3	4	11	6	4	13	12	18	32	15	10	13	10	5	6	18	2	6	6	2	4	13	8	4	7	2	4	8	7	1	0	9	9	5	26	15	24	10	6	13	31	14	9	12	17	11	20	11	22	18	4	13	17	13	22	8	14	5	18	13	4	3	15	8	11	6	9	15	13	8	4	11	5	5	9	5	4	10	2	8	4	12	17	2	6	7	9	14	15	14	30	22	2	6	8	2	4	9	
