"УИК №77"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №453"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	9	2	2	6	3	5	9	11	4	11	10	7	3	9	10	12	8	5	11	7	6	8	2	5	6	11	9	9	8	4	9	9	9	13	2	5	8	9	8	11	10	14	16	2	5	5	8	9	16	6	5	11	5	12	12	9	11	12	15	8	8	8	9	15	10	7	11	16	9	8	8	11	11	75	73	8	6	7	14	6	15	2	11	1	0	1	1	18	
2	157	48	215	31	81	129	87	120	112	59	99	28	24	234	158	75	81	49	190	165	84	84	54	103	103	128	64	71	114	145	376	295	143	214	144	353	279	286	237	235	269	129	117	55	155	183	211	202	136	181	79	130	162	139	129	162	259	297	231	115	155	228	219	206	205	127	128	259	119	104	240	281	278	145	155	125	205	114	168	34	330	45	389	22	3	2	3	168	
1	112	20	48	20	46	66	91	96	37	48	74	41	37	87	35	71	50	42	94	47	50	76	17	32	67	68	40	50	101	41	86	90	54	58	65	83	66	75	61	68	56	93	42	20	45	69	64	69	76	59	58	96	56	113	123	67	45	56	46	58	33	144	31	86	66	81	105	67	102	105	67	87	61	32	28	72	41	71	122	25	71	38	88	6	1	1	2	66	
162	1490	430	997	602	820	1352	854	967	1100	654	1478	825	457	1007	987	759	802	459	1102	814	807	749	501	678	945	1252	873	779	1202	926	1433	1248	967	849	920	1378	1345	1301	1301	1080	980	1098	756	930	854	1205	968	1065	941	928	1014	1168	1087	1205	1089	1159	1270	1251	1123	1242	1343	1401	1133	1190	1038	799	1036	1078	1182	1169	1156	1303	1393	1473	1134	950	1079	1259	1385	1055	1262	1218	1309	146	193	46	379	1180	
1	28	7	21	12	27	27	13	29	27	14	21	14	3	30	23	10	12	10	28	35	15	16	10	32	30	61	16	17	20	25	71	62	44	36	32	105	29	88	51	49	43	15	18	10	35	21	57	36	20	62	23	30	33	32	32	51	74	71	64	53	43	15	42	49	35	11	31	42	25	21	41	58	24	20	29	34	36	18	45	11	68	9	85	3	1	1	1	52	
0	9	3	6	3	4	16	16	16	10	13	22	9	21	22	9	17	22	7	19	13	7	12	3	8	6	8	25	14	14	9	15	13	27	4	8	13	16	12	15	6	17	23	15	6	11	13	11	13	10	16	4	13	8	9	14	12	14	18	13	11	8	7	10	18	11	4	10	4	9	11	11	27	8	22	24	17	6	4	17	8	19	2	22	2	1	1	1	10	
1	20	1	5	7	6	15	7	6	12	8	16	9	11	12	6	10	10	6	22	7	5	9	8	9	2	14	24	10	11	8	30	14	6	12	9	17	17	21	11	16	12	21	14	2	7	5	12	12	11	9	16	6	15	7	12	14	22	31	12	12	12	6	10	16	19	5	19	13	10	11	15	23	12	11	18	9	14	8	14	5	9	2	18	3	0	1	1	21	
1	30	4	19	11	15	11	9	20	12	10	13	9	8	19	10	11	12	9	18	27	10	31	16	14	12	23	20	12	17	16	33	42	23	31	25	40	21	37	39	36	23	28	18	5	11	8	40	37	18	37	21	26	43	29	27	37	38	34	30	55	61	29	31	47	34	12	21	23	21	18	33	43	48	30	28	22	37	32	25	41	27	2	33	0	1	0	1	40	
