"УИК №2550"	"УИК №2551"	"УИК №2552"	"УИК №2553"	"УИК №2554"	"УИК №2555"	"УИК №2556"	"УИК №2557"	"УИК №2558"	"УИК №2559"	"УИК №2560"	"УИК №2561"	"УИК №2562"	"УИК №2563"	"УИК №2564"	"УИК №2565"	"УИК №2566"	"УИК №2567"	"УИК №2568"	"УИК №2569"	"УИК №2570"	"УИК №2571"	"УИК №2572"	"УИК №2573"	"УИК №2574"	"УИК №2575"	"УИК №2576"	"УИК №2577"	"УИК №2578"	"УИК №2579"	"УИК №2580"	"УИК №2581"	"УИК №2582"	"УИК №2583"	"УИК №2584"	"УИК №2585"	"УИК №2586"	"УИК №2587"	"УИК №2588"	"УИК №2589"	"УИК №2590"	"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №2595"	"УИК №2596"	"УИК №2597"	"УИК №2598"	"УИК №2599"	"УИК №2600"	"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	6	22	8	4	3	12	7	7	2	5	14	1	4	0	3	3	8	5	6	4	5	15	7	7	5	4	5	8	9	1	6	2	3	7	3	5	3	4	1	7	9	9	6	6	1	4	4	10	4	8	4	4	6	1	3	7	7	6	9	9	9	4	2	6	13	5	2	1	5	5	6	11	10	3	15	5	4	4	2	2	2	4	5	5	
147	79	128	143	111	104	99	144	78	108	51	87	131	84	27	22	62	118	109	126	117	78	144	191	86	137	169	61	70	136	187	110	133	60	37	135	73	126	32	95	112	144	107	113	86	134	35	143	231	66	63	141	83	136	96	28	32	96	146	138	75	44	48	69	62	194	177	93	56	55	90	126	62	106	142	78	175	61	116	235	93	115	121	197	176	99	
58	50	45	61	32	44	35	41	24	47	15	20	43	43	18	17	17	31	31	26	46	39	30	90	32	42	63	55	17	40	87	39	54	28	20	54	28	80	21	50	65	46	65	64	28	61	11	52	59	27	29	83	72	64	48	15	7	49	61	62	31	51	64	45	20	71	85	30	23	17	23	59	47	50	65	46	81	34	56	61	41	55	53	63	49	25	
735	540	873	880	578	638	448	909	492	611	530	412	705	554	201	288	294	582	388	447	757	484	942	1072	564	638	915	487	374	795	1161	409	778	280	293	693	383	863	374	628	882	698	692	824	397	640	167	668	742	456	354	927	605	798	592	151	221	541	885	969	898	728	616	430	323	883	948	570	309	257	449	565	553	798	707	687	1079	512	604	1015	564	670	785	882	791	451	
17	23	27	36	21	17	13	27	28	14	20	15	35	9	5	4	3	15	16	19	29	11	19	32	15	19	19	7	14	18	36	5	8	0	2	10	4	7	3	14	14	13	15	12	8	13	1	4	7	4	10	12	19	12	7	3	4	4	10	19	13	10	12	5	6	25	27	17	9	4	2	3	7	17	14	7	20	9	4	23	15	7	3	11	22	7	
6	7	11	6	4	4	9	12	3	5	3	4	5	3	4	1	3	6	5	6	12	6	5	12	2	8	10	7	1	5	12	3	7	3	2	4	6	5	0	5	6	2	6	11	10	9	4	2	6	5	2	2	8	6	5	2	0	1	4	7	2	4	5	4	2	5	7	4	2	1	2	7	4	4	7	7	12	3	2	8	9	3	1	8	7	2	
10	3	19	8	9	12	9	11	11	9	12	6	11	5	3	3	6	7	11	9	9	9	12	19	0	9	14	10	4	10	20	2	6	2	4	11	6	6	1	8	5	20	8	4	9	2	2	5	7	9	1	14	3	9	6	3	0	7	6	7	5	7	6	6	4	12	14	4	5	0	4	3	7	1	9	5	13	4	6	14	7	5	5	6	6	4	
18	10	31	15	17	9	4	26	11	15	9	12	22	6	5	0	2	14	11	10	17	10	12	23	11	13	33	10	11	10	19	3	1	1	6	18	4	3	2	9	9	7	7	15	2	11	1	3	10	2	6	12	5	12	9	1	1	5	3	9	4	6	5	3	5	3	8	7	1	0	2	2	2	8	10	2	9	3	6	19	7	6	3	13	10	1	
