"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №1481"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	20	5	17	11	6	13	6	11	12	9	8	12	8	9	5	6	10	14	7	13	5	8	4	0	10	15	0	11	11	8	10	8	17	7	5	4	7	3	6	4	4	15	0	11	8	3	8	9	13	7	8	14	14	11	14	12	9	20	18	11	11	3	11	12	11	9	7	7	7	17	3	4	7	4	2	2	1	0	2	0	1	3	0	7	7	3	0	0	1	2	0	0	1	0	1	0	1	1	1	0	1	3	
221	233	121	167	178	136	190	182	171	237	175	153	192	221	148	137	218	172	171	154	168	152	149	175	14	228	148	90	204	211	184	218	221	247	127	112	113	157	103	153	115	86	239	32	224	158	45	166	104	227	292	183	185	257	198	181	209	163	220	236	178	211	117	234	219	195	185	206	209	210	183	73	100	63	18	37	25	14	15	57	6	1	19	18	43	126	41	30	6	13	77	22	73	34	9	32	21	10	2	35	23	25	103	
118	119	38	96	79	73	95	74	59	120	67	55	79	88	53	70	58	88	87	76	97	89	64	88	14	114	89	46	97	116	102	111	132	132	85	91	55	94	49	73	67	53	131	16	115	82	24	75	57	95	32	64	74	101	132	86	80	70	133	142	82	110	65	93	91	104	99	91	84	82	83	44	43	33	19	17	12	14	12	31	3	3	34	19	41	80	9	19	8	9	32	10	29	9	22	18	19	4	2	9	2	17	68	
961	1052	539	839	830	672	925	889	784	1126	805	725	1005	993	675	1018	1175	745	885	818	895	787	747	881	536	929	808	570	956	1098	877	1027	1009	1132	701	920	574	808	599	873	655	459	1125	271	1202	1131	397	839	1076	1189	885	920	838	1133	1083	942	941	761	1200	1151	743	969	463	965	943	1136	798	942	916	1123	904	517	417	459	272	398	419	250	184	472	103	48	384	266	602	644	228	177	218	238	443	110	557	321	296	535	272	145	79	415	123	303	662	
15	20	18	13	15	9	19	15	20	28	26	16	21	30	17	17	9	14	17	17	19	9	19	9	3	19	19	10	12	24	15	28	14	18	13	13	11	17	7	22	9	6	23	3	24	15	3	18	15	27	2	30	12	31	19	21	28	13	21	30	15	18	13	23	22	28	19	26	22	33	20	2	9	6	0	7	1	3	3	2	0	3	2	2	2	9	2	1	2	2	9	0	6	2	3	3	1	5	2	1	1	3	20	
16	15	9	8	5	8	12	17	9	13	10	14	14	13	13	13	4	11	10	15	23	13	4	8	0	18	12	10	15	20	17	13	16	13	11	4	9	10	11	17	11	8	12	0	28	15	4	18	19	15	0	18	13	18	13	20	10	15	15	17	11	15	8	13	17	10	8	19	18	11	11	6	9	1	1	7	3	1	7	1	0	1	3	1	7	8	1	2	1	2	5	0	3	5	0	4	2	3	0	3	0	3	6	
22	12	12	12	20	8	10	9	12	15	12	8	20	18	11	12	9	13	16	6	13	10	5	9	1	15	10	5	10	9	3	9	12	12	4	6	11	14	5	9	5	6	16	0	15	8	5	11	17	7	5	7	9	15	19	12	12	9	15	22	18	16	9	20	12	20	11	17	16	16	20	7	4	1	1	7	0	1	0	0	1	0	0	0	2	5	1	0	0	0	2	0	1	0	0	1	2	0	0	0	1	1	9	
13	7	8	3	8	6	11	10	11	14	10	7	16	16	7	17	18	7	15	4	16	4	18	17	3	5	3	6	12	10	4	12	17	12	3	3	6	9	7	7	7	4	10	4	11	10	3	15	12	7	6	14	8	13	17	17	24	10	12	16	8	8	4	12	16	16	8	16	9	17	10	1	0	1	1	0	0	0	1	0	1	0	7	1	4	5	0	0	0	1	2	0	1	0	0	1	1	1	0	0	0	0	18	
