"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №262"	"УИК №263"	"УИК №265"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	8	14	13	8	7	10	15	17	5	6	7	2	11	8	5	4	15	8	9	8	9	7	18	5	5	13	6	11	8	10	13	5	6	11	11	12	5	9	7	13	19	21	24	2	2	8	12	6	6	12	9	23	2	14	6	14	8	10	13	14	8	9	
122	184	134	103	147	164	170	141	192	117	172	164	67	197	195	159	120	228	159	160	87	166	97	174	147	161	186	152	283	164	118	183	104	115	193	149	206	82	173	116	248	319	231	244	39	86	63	226	148	129	172	156	186	81	164	70	155	149	187	150	164	134	138	
64	116	82	65	103	74	121	96	120	61	122	109	47	110	155	112	74	126	80	121	77	140	63	113	85	72	111	98	148	119	56	110	75	71	92	78	134	46	87	34	135	116	141	119	33	53	47	137	72	92	118	135	131	51	130	49	118	86	119	85	99	86	61	
697	955	724	634	817	707	861	782	952	667	788	841	359	996	1025	840	479	1110	742	955	698	970	596	1045	653	748	1007	761	1379	842	557	846	589	1406	937	769	1093	434	881	468	1217	1351	1317	1177	231	467	336	1171	788	720	952	830	1156	469	1010	412	929	874	1050	847	900	681	565	
22	22	15	32	20	13	26	17	23	20	31	20	5	29	16	19	17	37	17	17	10	26	20	25	20	16	26	19	26	19	17	23	10	29	40	15	36	22	20	23	42	61	31	46	5	16	9	38	25	19	17	20	30	10	16	9	19	23	43	32	34	25	17	
3	4	6	11	4	6	16	6	21	5	7	14	3	9	8	14	7	11	9	7	4	8	3	8	7	10	12	16	12	5	9	9	6	4	16	4	10	1	7	1	17	11	12	16	2	5	6	12	1	9	16	13	17	8	8	5	14	10	15	8	8	1	7	
14	19	10	15	11	11	17	14	18	7	15	10	7	9	11	10	8	17	11	23	14	15	19	11	11	21	21	6	24	14	7	14	5	11	23	11	25	7	21	4	28	31	24	15	7	3	4	16	9	12	14	13	20	1	14	3	14	12	21	17	21	9	9	
17	18	15	27	17	7	8	26	20	8	25	7	1	14	14	12	5	29	14	19	9	15	14	13	7	25	21	16	30	23	3	18	8	12	36	16	28	8	13	9	36	25	39	20	0	6	3	29	17	10	22	12	19	7	19	7	16	28	35	22	29	19	29	
