"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	9	2	3	0	0	1	2	0	5	6	2	2	0	0	0	1	1	4	1	4	0	1	0	0	5	0	1	1	1	0	0	0	1	1	0	0	0	0	
87	10	7	19	19	13	12	44	29	7	3	10	22	3	29	8	5	14	17	12	18	104	122	100	83	5	145	112	4	86	96	11	68	48	14	7	18	91	47	6	35	11	65	9	2	15	3	3	16	98	11	36	11	14	46	12	33	2	7	
21	1	1	6	16	3	8	3	11	0	1	0	5	0	4	3	2	5	3	2	1	35	35	34	17	5	17	35	2	15	15	11	16	8	3	0	16	16	11	0	15	9	8	5	1	14	6	3	0	24	8	9	0	4	3	5	4	0	0	
545	76	80	236	216	80	164	127	193	61	59	121	133	130	224	309	152	147	153	135	108	623	646	628	259	137	750	665	81	457	584	152	335	187	137	79	401	416	337	102	366	141	278	88	56	551	56	101	100	580	108	197	392	90	297	154	213	63	102	
4	0	0	1	0	1	3	2	0	0	0	0	1	0	0	1	0	0	3	0	1	10	7	19	1	1	9	2	2	6	5	1	4	2	0	1	1	4	2	1	1	0	2	0	0	3	0	1	0	4	1	0	0	0	2	8	0	0	0	
6	1	1	0	0	0	3	0	0	0	0	0	2	3	1	1	0	0	0	1	0	10	5	4	2	0	4	6	0	5	4	3	4	1	0	0	0	12	3	0	4	1	1	4	0	3	0	0	0	0	0	3	0	0	1	2	2	0	1	
0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	9	4	3	0	3	1	0	3	4	0	2	0	0	0	1	2	2	1	1	0	0	1	0	7	0	0	0	0	0	1	0	0	1	0	1	0	0	
4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	9	6	5	1	0	4	5	0	1	1	3	2	1	0	0	2	1	1	0	3	0	1	0	0	8	0	0	0	0	0	1	0	1	1	0	0	0	0	
