"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №969"	"УИК №970"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	8	2	14	5	2	0	2	0	8	0	0	11	21	6	18	9	4	16	20	5	13	12	17	5	10	4	10	7	11	16	10	15	7	7	10	8	10	10	5	19	12	12	15	15	15	8	3	6	6	8	10	3	1	7	6	14	8	4	7	3	0	10	2	1	6	3	2	8	9	1	2	6	2	0	8	3	3	18	10	3	6	4	1	4	3	3	6	6	1	5	0	9	5	1	4	4	4	7	7	5	8	3	6	6	6	8	2	4	1	9	4	3	2	3	0	5	6	11	
85	71	36	103	52	46	31	41	39	72	16	14	134	162	147	175	135	54	202	191	89	134	139	112	95	121	115	121	95	129	91	116	88	87	105	104	111	102	108	101	108	103	139	174	137	131	58	50	46	107	86	138	49	61	80	72	141	44	56	118	43	32	40	31	58	44	41	85	118	138	92	43	97	62	19	83	67	15	128	131	71	64	77	48	45	66	64	71	50	26	20	16	120	84	36	28	91	96	60	31	57	135	57	83	71	55	29	26	33	61	45	106	50	37	36	6	46	36	27	
52	17	13	55	28	12	9	36	22	25	9	16	74	64	57	60	61	38	86	81	64	41	69	69	61	65	48	41	68	64	44	54	51	50	44	59	27	57	55	48	73	49	61	90	57	69	56	30	67	49	43	78	49	35	40	46	84	25	29	41	25	18	61	14	32	34	23	51	72	67	48	19	54	24	14	43	36	19	109	84	65	32	58	35	43	65	46	41	35	25	10	13	81	56	14	16	43	63	37	14	52	74	30	59	48	36	22	19	23	24	57	60	35	24	13	11	43	21	46	
528	392	263	878	407	295	217	353	305	568	129	121	1261	1264	995	1340	1052	682	1398	1356	657	965	1079	983	865	1003	769	797	942	1178	856	927	717	634	951	785	743	903	901	916	923	949	1155	1227	1314	1251	686	479	738	834	1198	1419	659	1150	825	1116	1901	393	412	773	418	263	555	219	658	431	404	528	898	1138	786	314	913	484	223	695	849	242	1428	1153	935	752	759	473	648	999	492	548	524	371	269	285	1080	1080	803	365	859	1006	521	382	629	1055	520	677	801	785	308	227	516	627	829	887	582	547	303	198	379	379	579	
17	6	1	15	4	12	7	11	9	9	6	1	56	56	39	65	53	25	56	56	29	46	47	39	25	36	29	38	34	26	26	35	16	24	34	33	28	27	22	16	29	29	37	35	43	40	26	8	6	21	16	24	15	21	15	16	34	4	13	10	9	11	26	5	19	21	6	15	16	32	5	11	17	7	9	11	11	9	41	23	10	11	8	10	7	10	10	9	10	5	5	4	39	10	10	5	20	19	17	12	12	32	7	12	17	11	2	5	6	10	13	17	8	10	3	7	27	8	30	
3	3	0	8	2	2	3	6	2	2	2	0	14	11	18	12	12	3	15	23	12	9	16	11	10	10	8	10	10	9	5	5	9	4	5	5	6	15	11	14	11	8	22	10	9	13	6	3	7	5	7	13	9	6	7	4	15	3	6	6	4	4	4	4	6	4	2	8	10	7	4	2	2	2	0	6	4	1	8	13	4	4	7	7	5	10	4	2	1	2	0	1	9	11	3	2	6	7	7	2	5	7	9	8	5	4	2	1	7	5	4	7	6	2	1	1	1	0	5	
7	3	1	9	8	3	2	1	2	3	3	1	27	29	20	30	20	8	18	24	8	23	19	17	15	22	9	17	12	13	17	7	9	11	9	12	14	11	19	6	5	9	15	21	17	10	7	4	2	12	10	17	4	9	8	9	17	5	6	2	3	3	10	0	12	8	8	4	11	19	12	6	7	2	1	6	2	0	5	9	10	6	8	1	4	7	2	6	7	4	0	1	12	8	2	2	8	11	4	5	6	7	9	6	9	9	4	6	3	5	13	11	2	4	5	1	6	2	7	
9	5	5	10	9	4	5	7	11	5	1	2	43	48	35	41	36	15	34	37	15	33	18	20	26	21	23	28	29	31	22	24	17	16	21	15	20	19	7	13	22	24	20	28	43	26	5	8	6	18	16	17	6	7	10	8	26	3	12	9	9	4	4	1	9	2	4	5	18	18	17	3	12	5	5	7	6	8	14	17	9	7	10	1	7	7	12	6	5	3	3	3	13	10	4	5	8	7	11	4	12	14	7	6	6	8	5	4	4	6	11	9	6	6	1	0	9	9	24	
