"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	15	6	9	12	12	11	5	13	13	9	12	13	12	13	10	10	14	10	7	14	16	12	13	2	10	4	19	13	7	10	9	16	8	13	8	21	16	5	8	5	3	1	2	2	5	9	4	6	7	9	7	5	9	10	7	10	16	15	15	8	16	7	10	10	13	10	7	7	9	9	9	12	9	5	2	0	0	0	2	1	2	
360	189	283	282	283	214	216	216	222	167	177	208	270	227	204	214	201	224	230	267	256	296	241	251	136	110	76	200	164	155	191	197	249	148	293	292	319	243	206	250	72	10	20	15	32	106	270	92	124	180	155	140	119	191	194	132	219	283	337	284	278	196	164	229	234	216	208	175	208	202	218	227	240	246	86	5	2	3	13	38	13	8	
104	41	92	85	88	81	72	112	92	70	57	79	84	66	83	89	74	88	64	52	55	86	49	62	44	40	42	81	74	66	108	77	76	72	92	56	59	101	64	50	36	9	9	18	10	29	102	28	60	77	64	55	62	87	85	56	70	99	97	98	91	75	51	96	118	66	74	64	79	75	84	93	91	85	23	12	2	0	3	11	7	6	
1509	753	1182	1254	1246	1058	1086	1049	1266	972	823	1007	1377	1076	1075	1211	876	1055	1083	1225	998	1265	1031	1260	648	559	448	1009	942	959	1090	1046	1174	777	1445	1159	1228	1293	984	943	515	120	103	231	222	541	1190	496	685	1116	777	702	665	1141	1127	708	1211	1590	1430	1303	1267	950	855	1164	1479	1096	1002	845	1248	1049	1028	1209	1277	1087	456	60	153	119	308	372	212	237	
59	36	42	43	48	23	32	29	28	26	34	29	45	21	39	39	30	32	35	62	57	43	41	59	17	15	7	29	34	14	24	27	52	21	64	58	43	35	32	56	10	0	3	6	6	14	60	16	18	24	14	15	20	18	23	10	38	57	50	34	38	28	22	36	42	29	35	27	30	32	22	45	26	31	8	47	0	0	0	2	2	7	
12	11	20	11	14	11	17	12	14	16	9	13	10	11	13	20	15	12	10	6	12	24	12	12	3	6	5	6	10	9	16	8	12	11	5	10	18	18	11	8	5	3	0	1	3	5	15	2	6	12	9	15	6	16	26	7	11	20	13	19	10	12	14	9	12	12	15	12	15	3	11	14	18	11	6	0	1	0	1	1	0	1	
28	17	12	15	14	12	17	9	18	13	10	16	31	10	14	19	12	23	15	32	24	15	21	24	12	5	0	12	19	14	16	11	10	6	16	15	17	16	18	21	5	0	3	1	2	4	23	8	6	6	5	5	6	10	18	7	16	9	16	11	17	11	15	14	13	15	9	13	14	13	8	12	10	16	4	0	0	0	0	2	1	3	
20	18	17	20	29	4	20	17	19	20	13	18	25	16	18	17	11	16	13	24	20	24	25	30	14	7	3	20	14	18	16	14	19	12	31	29	21	16	9	21	1	1	1	2	0	2	21	2	3	18	9	6	7	18	20	13	20	23	24	25	20	12	10	19	17	17	13	15	11	19	9	17	19	20	6	0	1	0	0	0	0	0	
