"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	"УИК №2720"	"УИК №2721"	"УИК №2722"	"УИК №2723"	"УИК №2724"	"УИК №2725"	"УИК №2726"	"УИК №2727"	"УИК №2728"	"УИК №2729"	"УИК №2730"	"УИК №2731"	"УИК №2732"	"УИК №2733"	"УИК №2734"	"УИК №2735"	"УИК №2736"	"УИК №2737"	"УИК №2738"	"УИК №2739"	"УИК №2740"	"УИК №2741"	"УИК №2742"	"УИК №2743"	"УИК №2744"	"УИК №2745"	"УИК №2746"	"УИК №2747"	"УИК №2748"	"УИК №2749"	"УИК №2750"	"УИК №2751"	"УИК №2752"	"УИК №2753"	"УИК №2754"	"УИК №2755"	"УИК №2756"	"УИК №2757"	"УИК №2758"	"УИК №2759"	"УИК №2760"	"УИК №2761"	"УИК №2762"	"УИК №2763"	"УИК №2764"	"УИК №2765"	"УИК №2766"	"УИК №2767"	"УИК №2768"	"УИК №2769"	"УИК №2770"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	1	0	2	0	2	0	0	0	1	0	0	4	1	0	4	2	0	1	2	2	0	2	2	1	1	1	0	0	0	1	1	1	2	2	1	0	0	0	1	1	5	0	0	0	0	2	2	0	3	0	1	2	4	0	1	0	0	1	0	1	0	2	1	2	0	0	1	1	
93	89	26	7	32	22	37	15	12	3	36	12	3	58	19	8	180	15	13	43	35	8	5	57	10	17	57	39	8	11	13	22	18	23	16	17	32	16	27	10	7	51	49	7	22	32	16	92	33	18	23	20	76	34	49	14	10	31	19	33	12	38	14	49	10	12	13	26	25	48	
35	58	22	15	8	17	20	9	4	7	14	8	4	17	11	8	73	19	6	24	11	6	2	30	7	9	24	11	3	4	26	5	6	5	3	10	20	8	12	12	7	36	45	15	11	18	25	54	19	9	11	7	37	15	25	7	8	10	5	14	8	27	8	17	21	6	9	18	9	10	
510	515	388	65	165	199	307	139	101	136	242	168	80	321	268	180	1237	248	111	378	349	82	79	393	88	108	205	172	97	81	205	122	130	114	169	138	417	176	208	122	126	554	571	153	832	407	259	554	201	203	205	144	426	289	503	189	183	286	184	392	178	480	137	299	144	281	291	271	108	341	
11	7	0	1	2	4	2	1	0	1	0	0	0	3	2	1	10	1	0	2	3	0	0	4	1	3	5	1	1	0	1	1	0	0	0	1	2	1	3	2	0	2	5	1	1	3	3	5	4	2	1	0	5	1	3	0	1	0	1	4	1	7	0	1	2	5	1	4	2	2	
4	7	0	1	1	3	1	0	2	2	1	0	0	0	2	3	14	1	1	0	4	0	1	4	0	0	1	0	0	0	1	2	1	0	0	1	0	2	2	0	4	0	8	0	3	0	0	6	1	4	0	1	2	2	3	1	1	1	1	6	2	1	1	1	3	3	4	3	1	2	
4	2	0	2	2	1	1	1	0	0	2	0	0	3	1	1	12	0	1	2	2	1	0	3	1	1	0	1	0	0	0	2	0	0	1	3	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	0	0	2	0	0	0	1	1	1	0	1	1	4	4	1	0	3	1	3	
3	2	0	1	1	1	1	0	0	0	0	0	0	1	0	1	6	2	1	2	1	0	0	4	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	
