"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	3	0	2	3	1	1	0	1	0	0	0	1	0	0	2	4	2	2	0	1	2	0	0	2	2	0	0	1	1	1	0	2	0	0	0	2	7	2	2	0	3	3	0	2	2	3	0	2	0	2	0	3	0	4	0	1	2	0	5	2	0	1	1	2	0	0	4	0	3	1	1	1	1	
5	6	10	11	43	29	20	25	33	17	7	16	14	26	17	16	19	5	4	9	4	1	45	10	10	4	22	8	2	13	14	21	3	5	13	12	11	4	25	21	21	49	7	31	17	27	5	4	10	2	3	6	11	16	9	21	6	17	11	3	27	11	6	22	7	4	8	21	17	9	7	9	8	5	10	
0	8	16	11	35	18	15	13	12	6	14	11	7	24	16	19	15	10	5	6	6	4	24	5	7	3	15	9	6	7	1	9	9	10	10	6	9	4	11	13	6	32	5	15	10	15	11	3	5	3	2	5	3	11	9	13	5	7	16	1	7	15	2	10	4	2	1	6	7	9	4	5	5	4	5	
156	702	764	675	975	283	915	950	693	254	520	1066	674	1289	1239	865	1155	496	583	376	281	246	1343	318	446	526	1586	585	206	401	226	571	274	432	595	533	455	269	1349	1510	813	662	447	1004	611	1150	242	250	535	176	174	152	382	682	750	731	450	801	753	189	970	729	343	569	577	78	141	839	382	384	397	292	152	149	153	
1	9	11	2	37	55	10	19	14	44	7	17	26	15	12	7	13	6	7	24	5	6	26	14	27	18	12	3	1	27	4	14	5	11	4	7	10	10	40	24	12	12	12	4	6	9	10	6	8	0	2	12	14	12	16	46	1	7	12	8	42	19	6	18	4	1	8	33	19	12	24	24	10	3	9	
0	1	0	1	3	1	3	4	3	1	1	1	1	5	4	1	4	1	0	2	0	0	2	1	1	1	1	1	0	1	1	0	0	0	6	0	0	0	2	2	1	0	1	2	2	1	0	0	5	0	0	2	1	3	2	1	1	3	4	0	3	0	1	1	0	0	1	3	2	0	0	1	1	0	2	
2	4	4	1	3	5	2	1	6	3	3	0	8	4	7	3	4	2	2	2	0	0	3	0	4	2	2	0	1	2	0	1	1	1	5	0	2	0	0	2	4	0	1	1	0	1	0	1	1	0	0	0	0	2	3	2	0	3	2	0	2	0	0	1	1	0	1	1	1	3	1	0	2	1	2	
0	4	9	5	6	7	2	7	7	21	4	5	9	3	4	3	5	3	4	10	1	0	2	2	6	1	5	1	1	4	1	7	2	5	1	6	1	8	8	11	8	0	2	5	7	4	1	1	3	0	0	2	4	2	8	10	1	5	5	0	10	5	2	5	2	1	1	7	5	5	2	1	2	0	3	
