"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	10	5	4	6	9	26	11	12	6	6	14	11	6	9	16	9	7	9	13	8	12	11	9	16	10	11	9	8	12	13	8	6	5	14	5	15	12	7	5	4	9	14	13	6	11	10	17	17	14	7	3	11	8	15	15	16	17	20	11	12	8	9	10	11	14	10	9	10	7	13	18	12	6	15	13	19	18	14	13	10	12	16	16	14	9	4	8	12	8	19	10	7	13	7	9	17	14	16	8	5	11	7	25	12	15	13	18	26	12	8	5	9	4	3	6	16	
84	84	61	63	96	87	171	113	104	87	91	105	94	84	99	128	94	134	88	142	133	134	85	90	115	102	123	104	86	74	87	116	112	135	130	124	123	116	66	94	100	86	99	150	130	104	90	123	118	111	105	139	101	129	164	259	129	123	156	110	97	107	78	74	109	157	107	99	147	121	137	104	144	127	111	145	109	163	151	102	81	82	104	72	109	91	10	131	126	107	176	137	89	130	129	216	157	156	132	127	122	151	120	148	188	159	162	175	159	127	162	142	145	81	106	80	101	
62	37	37	65	48	48	66	61	59	41	58	52	50	54	67	56	45	55	51	55	69	55	51	53	49	55	68	43	41	50	65	73	76	76	47	49	69	54	34	46	52	44	64	40	73	56	58	71	73	56	68	61	50	62	62	53	74	80	61	54	44	38	36	38	43	45	51	60	49	45	69	67	58	52	66	49	57	46	55	61	50	50	67	41	76	48	25	46	66	49	82	59	69	53	54	77	78	85	55	40	46	48	60	50	42	64	49	61	51	44	57	71	66	51	38	35	88	
895	834	680	744	806	799	1112	937	964	810	940	890	821	923	896	1051	821	998	778	1164	1146	1062	939	903	985	867	979	867	827	817	897	957	908	985	1057	1023	1021	1070	865	874	841	844	842	928	892	897	955	1050	1102	1071	799	999	962	890	1158	1300	1105	1202	1058	1001	833	812	688	813	891	949	1015	946	1046	799	1050	905	999	942	1062	1058	984	1108	986	940	916	878	961	1082	983	894	541	1217	1039	1163	1428	1110	868	879	882	1230	1106	1260	1006	842	1005	1093	1036	1126	1145	1037	966	1254	1164	985	999	903	851	711	796	829	844	
37	35	28	42	47	42	80	35	50	53	45	19	41	37	61	52	32	48	23	72	67	55	39	51	53	36	42	41	34	40	27	47	52	54	43	54	60	63	43	45	70	39	49	56	47	38	50	45	52	56	35	63	61	67	87	111	56	61	75	35	39	46	45	43	69	59	51	38	53	43	54	35	73	59	57	55	54	70	44	34	40	30	37	34	47	47	4	67	50	47	81	51	46	45	35	85	58	56	62	61	67	54	45	63	96	60	66	82	75	78	99	63	66	40	67	19	55	
7	10	8	7	9	7	9	5	2	10	8	6	5	8	7	11	7	10	8	13	9	8	4	6	14	4	12	7	4	14	2	5	8	10	3	10	13	11	1	13	4	11	12	10	8	4	9	10	8	9	9	9	10	4	6	11	11	14	11	12	11	6	7	5	12	10	7	5	13	10	5	6	9	8	8	7	6	12	8	7	9	5	10	13	11	7	3	9	11	10	12	11	16	9	4	13	8	10	6	13	8	9	6	11	8	15	9	13	8	8	6	7	4	8	4	12	12	
9	16	12	12	13	14	21	12	20	9	16	14	14	18	12	13	10	16	15	21	20	19	17	11	12	18	17	10	10	16	18	14	16	21	18	22	16	13	12	16	15	16	24	12	25	18	18	32	24	10	13	24	18	17	21	34	27	20	21	16	16	20	9	12	19	19	16	12	19	14	22	9	21	20	21	19	24	28	17	14	16	17	27	14	12	15	1	25	14	16	30	35	19	29	20	23	26	27	18	16	26	27	24	35	34	23	25	30	22	31	28	20	19	24	19	5	14	
16	11	11	31	20	19	48	26	35	29	32	17	19	19	27	44	28	23	28	52	36	53	25	31	37	30	28	36	21	30	25	27	34	32	46	27	27	41	27	32	44	31	23	50	44	36	32	50	43	35	38	38	37	36	28	63	49	32	74	25	34	32	21	42	31	36	49	38	45	29	45	33	53	18	31	55	54	59	32	34	38	31	32	16	24	48	5	39	46	30	68	30	33	33	31	59	48	47	46	30	44	44	32	40	60	52	40	36	63	41	59	20	33	46	34	21	33	
