"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	7	8	11	0	1	2	7	4	38	1	3	4	13	9	6	1	14	12	7	10	8	20	5	12	5	6	13	16	8	8	13	18	6	5	10	10	13	9	11	6	6	8	11	13	18	9	2	2	12	5	12	4	5	11	3	1	8	1	8	5	4	14	12	9	3	10	4	11	3	6	
198	266	209	168	2	68	45	133	88	100	2	36	101	111	74	180	6	198	200	213	190	193	218	160	125	119	212	167	157	156	135	164	137	121	146	105	119	180	158	167	109	160	124	192	195	155	136	23	11	186	136	156	112	61	198	105	4	139	68	157	178	175	202	180	189	130	217	344	360	147	110	
33	101	35	37	2	33	30	79	62	98	2	23	57	77	11	48	3	74	49	59	91	75	71	72	56	39	83	55	80	50	80	110	82	60	27	64	78	100	87	88	60	91	73	57	85	70	72	7	5	81	88	80	63	43	87	102	8	67	67	92	86	65	81	58	91	79	68	43	71	59	59	
798	1139	1103	688	86	376	456	761	675	1100	46	325	1369	764	814	831	119	1022	1245	950	1038	998	1052	815	1044	713	1010	849	987	1055	923	1039	959	735	961	782	845	1139	877	948	766	1071	788	921	1096	879	914	239	142	987	761	1027	787	609	997	925	126	846	794	851	848	945	1055	861	1468	942	960	967	1173	801	652	
15	15	38	2	0	6	13	25	9	5	1	6	6	13	7	13	1	37	31	27	36	32	24	30	9	14	43	23	18	20	17	25	14	15	6	18	18	31	14	17	10	18	16	22	28	21	17	1	0	26	8	21	14	11	13	17	1	11	13	19	10	19	18	27	33	0	26	3	21	14	12	
10	7	13	12	0	5	16	6	3	35	0	6	6	8	2	12	0	9	9	9	6	13	6	9	1	11	5	13	10	7	12	14	20	15	5	8	9	10	7	11	5	10	8	10	12	4	7	5	0	12	5	5	14	5	6	12	0	14	4	12	12	10	9	10	8	4	15	8	3	8	7	
9	7	14	2	0	4	2	4	8	23	0	3	10	5	4	15	0	12	20	16	20	14	10	14	9	11	13	12	10	9	5	10	24	6	7	8	4	10	14	16	8	13	11	10	13	6	8	1	0	13	8	10	8	4	15	2	0	8	6	4	11	8	13	16	6	5	15	2	8	6	4	
9	23	12	10	0	3	11	17	15	12	0	2	4	7	4	9	0	18	22	17	15	19	18	20	9	13	17	13	15	18	9	15	10	9	8	12	12	18	19	18	13	19	6	11	18	7	7	2	0	12	15	9	7	5	16	16	0	9	8	16	3	10	12	12	19	10	20	7	23	5	8	
