"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	3	3	10	12	4	6	14	5	7	8	12	16	6	15	13	4	2	5	3	6	7	9	7	9	4	3	4	3	5	10	5	5	9	10	1	7	4	5	9	5	13	7	10	12	5	3	4	7	4	8	8	8	2	14	1	4	6	10	6	7	5	1	2	0	
77	147	35	82	79	107	64	83	189	129	132	122	134	138	124	155	84	62	58	133	97	113	68	118	103	97	110	98	62	83	84	166	99	83	110	117	78	132	70	92	101	95	111	115	190	105	45	124	92	79	93	93	113	63	61	158	115	41	114	167	124	67	79	6	25	13	
58	73	24	52	45	74	49	46	58	68	91	44	86	67	76	111	53	28	31	76	47	89	58	53	68	71	66	77	56	48	52	102	50	64	94	66	43	88	34	73	52	62	73	65	94	65	26	57	39	46	57	73	67	43	40	90	62	38	72	61	82	45	55	6	21	5	
736	941	417	663	737	979	464	695	1157	935	1073	853	953	1021	906	1228	890	475	467	971	860	1111	621	716	794	866	855	817	554	661	741	1149	806	801	1132	816	667	959	512	681	821	907	1086	1075	1462	1026	366	741	762	814	931	825	931	525	674	1111	1073	451	893	1129	1112	809	767	74	233	149	
11	12	5	10	8	16	2	15	24	18	21	9	17	17	22	23	14	10	11	13	9	14	3	11	14	14	19	11	9	8	4	22	16	13	15	20	10	14	10	6	11	15	13	9	18	4	3	6	5	9	11	6	6	9	18	10	13	10	18	24	10	4	8	1	3	1	
3	3	2	10	10	5	6	4	7	5	8	10	13	17	8	9	13	7	6	4	2	9	4	13	8	10	8	3	0	4	2	12	4	5	9	9	4	1	2	0	10	8	13	12	9	10	3	7	9	9	9	5	8	2	2	6	7	4	7	7	9	4	4	0	0	0	
4	7	2	3	5	6	5	5	13	15	6	6	9	9	5	4	12	1	4	12	2	9	6	3	5	8	8	5	2	7	6	4	3	5	9	5	4	7	4	3	2	10	6	6	3	7	3	2	8	8	6	5	4	5	5	6	6	1	8	8	10	5	5	0	0	0	
0	7	1	9	10	18	4	6	6	10	20	14	12	13	6	8	11	7	5	4	3	8	1	6	8	11	10	10	7	6	9	16	9	8	11	9	4	17	2	6	8	3	2	7	7	7	0	1	4	3	11	1	7	5	3	8	3	3	5	6	11	5	6	0	0	1	
