"УИК №3091"	"УИК №3092"	"УИК №3093"	"УИК №3094"	"УИК №3095"	"УИК №3096"	"УИК №3097"	"УИК №3098"	"УИК №3099"	"УИК №3100"	"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	"УИК №3106"	"УИК №3107"	"УИК №3108"	"УИК №3109"	"УИК №3110"	"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	"УИК №3122"	"УИК №3123"	"УИК №3124"	"УИК №3125"	"УИК №3126"	"УИК №3127"	"УИК №3128"	"УИК №3129"	"УИК №3130"	"УИК №3131"	"УИК №3132"	"УИК №3133"	"УИК №3134"	"УИК №3135"	"УИК №3136"	"УИК №3137"	"УИК №3138"	"УИК №3139"	"УИК №3140"	"УИК №3141"	"УИК №3142"	"УИК №3143"	"УИК №3144"	"УИК №3145"	"УИК №3146"	"УИК №3147"	"УИК №3148"	"УИК №3149"	"УИК №3150"	"УИК №3151"	"УИК №3152"	"УИК №3153"	"УИК №3154"	"УИК №3155"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	2	4	1	0	0	8	6	5	0	1	5	2	0	0	3	18	0	1	0	0	3	2	3	3	3	2	1	0	1	4	2	7	0	1	1	10	2	0	0	5	0	0	2	6	19	2	7	12	5	23	3	4	4	2	5	5	5	3	8	5	2	8	4	
29	66	269	45	96	29	48	79	32	103	61	23	191	81	88	45	64	110	24	30	58	84	84	44	83	56	43	27	33	20	36	111	58	298	35	31	226	104	78	54	62	159	13	34	150	167	52	163	204	119	118	147	155	172	183	112	197	215	150	112	120	222	173	192	30	
3	2	4	18	3	7	1	22	7	16	26	7	35	6	4	6	11	47	18	3	0	12	5	42	18	6	8	12	3	5	5	12	7	43	4	14	4	39	18	9	3	42	8	0	22	64	18	42	52	32	40	39	40	61	28	14	43	27	27	14	20	52	48	46	8	
255	411	1507	432	429	178	239	660	315	416	251	292	712	377	562	479	438	1092	294	325	181	581	420	554	944	469	427	311	315	149	213	628	316	1011	162	361	953	887	442	386	379	604	292	212	829	684	315	542	920	740	583	773	656	746	669	1112	791	846	621	934	851	780	648	902	158	
1	2	2	3	2	2	2	4	2	8	5	2	10	0	0	4	1	7	0	4	0	3	4	5	4	8	3	2	3	2	5	5	1	17	2	1	1	11	3	1	0	9	1	4	2	11	9	8	15	15	13	18	14	22	14	5	16	14	13	14	12	24	14	7	1	
1	1	1	6	1	0	4	4	3	6	4	2	11	3	0	0	3	6	8	6	0	2	4	9	12	9	3	6	2	1	0	4	3	15	5	5	1	13	9	1	0	9	2	0	3	15	6	6	11	13	12	32	15	22	13	1	17	12	11	8	11	11	14	11	7	
0	1	1	3	2	0	0	0	5	3	0	1	6	2	0	1	0	6	3	0	0	0	2	2	2	1	3	1	1	1	1	6	1	3	2	0	1	10	7	1	1	9	2	0	2	10	6	3	9	8	4	26	4	2	4	1	10	8	6	10	10	10	8	7	2	
0	1	2	0	2	0	1	2	0	6	3	0	3	0	0	1	1	4	0	2	0	1	3	1	0	1	1	7	0	0	0	2	1	8	0	1	2	7	2	1	1	8	0	0	3	6	8	0	5	8	10	46	2	6	8	0	11	9	2	8	7	11	5	6	2	
