"УИК №3201"	"УИК №3202"	"УИК №3203"	"УИК №3204"	"УИК №3205"	"УИК №3206"	"УИК №3207"	"УИК №3208"	"УИК №3209"	"УИК №3210"	"УИК №3211"	"УИК №3212"	"УИК №3213"	"УИК №3214"	"УИК №3215"	"УИК №3216"	"УИК №3217"	"УИК №3218"	"УИК №3219"	"УИК №3220"	"УИК №3221"	"УИК №3222"	"УИК №3223"	"УИК №3224"	"УИК №3225"	"УИК №3226"	"УИК №3227"	"УИК №3228"	"УИК №3229"	"УИК №3230"	"УИК №3231"	"УИК №3232"	"УИК №3233"	"УИК №3234"	"УИК №3235"	"УИК №3236"	"УИК №3237"	"УИК №3238"	"УИК №3239"	"УИК №3240"	"УИК №3241"	"УИК №3242"	"УИК №3243"	"УИК №3244"	"УИК №3245"	"УИК №3246"	"УИК №3247"	"УИК №3248"	"УИК №3249"	"УИК №3250"	"УИК №3251"	"УИК №3252"	"УИК №3253"	"УИК №3254"	"УИК №3255"	"УИК №3256"	"УИК №3257"	"УИК №3258"	"УИК №3259"	"УИК №3260"	"УИК №3261"	"УИК №3262"	"УИК №3263"	"УИК №3264"	"УИК №3265"	"УИК №3266"	"УИК №3267"	"УИК №3268"	"УИК №3269"	"УИК №3270"	"УИК №3271"	"УИК №3272"	"УИК №3273"	"УИК №3274"	"УИК №3275"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	5	6	9	14	5	5	8	5	9	7	8	10	11	8	5	10	21	14	8	14	8	14	7	8	12	15	10	19	15	18	21	7	11	18	6	8	3	3	15	11	9	9	1	7	9	16	14	19	9	5	4	2	12	13	17	7	13	11	7	13	7	3	19	13	6	13	10	9	7	11	7	3	2	5	
191	111	60	110	161	95	73	87	67	65	84	110	101	131	133	87	155	178	127	167	164	92	94	131	134	121	174	190	185	190	166	137	138	150	158	80	135	116	44	195	138	145	58	66	125	86	139	109	211	142	56	72	43	125	126	191	110	143	72	162	187	77	55	157	205	141	130	110	131	143	105	145	32	14	30	
99	34	30	67	50	55	34	59	44	40	41	65	59	51	65	29	84	89	69	92	70	55	67	66	80	57	74	110	75	69	80	79	96	87	80	45	64	45	39	98	65	75	42	43	77	57	77	73	96	65	42	54	24	78	80	86	54	65	59	93	95	59	48	108	123	77	88	56	101	89	63	45	43	17	19	
1182	665	533	774	954	610	463	704	516	558	696	795	710	885	1107	614	1110	1251	945	1195	1184	771	942	969	1051	876	1209	1368	1278	1200	1418	1246	1176	1104	1224	628	927	590	395	1203	843	754	546	407	885	698	983	919	1308	1060	478	610	302	1062	1069	1159	790	960	616	1106	1284	641	553	1258	1313	1169	1216	805	1321	1206	979	799	350	176	210	
79	27	14	60	55	37	26	31	20	25	44	30	32	42	59	29	62	72	50	43	42	37	39	41	55	45	63	67	87	76	82	72	74	54	68	19	45	49	10	74	57	41	17	15	49	25	48	28	84	42	16	44	12	29	28	38	32	29	28	37	49	26	12	55	52	49	36	32	61	48	29	32	9	4	4	
11	7	4	10	9	2	7	8	11	7	9	13	7	14	10	6	7	14	9	13	6	11	9	9	20	7	15	25	15	10	11	13	17	10	10	6	9	5	8	12	10	9	5	8	12	4	9	4	14	7	5	6	5	15	12	10	5	16	7	17	9	5	6	18	14	17	11	7	23	14	7	9	2	4	2	
26	5	10	14	31	9	7	8	7	4	17	16	13	17	19	10	29	27	22	23	13	15	14	8	10	15	18	38	28	23	25	29	22	23	21	8	14	10	8	22	21	15	9	13	19	16	15	10	21	16	5	12	5	6	21	23	11	18	13	15	16	14	11	20	14	13	13	17	25	19	10	22	4	1	2	
53	26	20	34	49	14	11	24	19	12	11	31	26	32	35	24	49	54	33	44	40	24	30	34	19	20	50	50	36	41	51	40	47	31	42	25	51	12	8	33	22	18	12	13	23	14	36	24	44	29	6	15	1	21	23	33	13	20	8	21	19	12	8	42	40	32	24	12	34	26	29	27	7	6	4	
