"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №1220"	"УИК №1221"	"УИК №2624"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	4	3	8	5	10	5	7	3	4	6	21	10	4	5	8	6	3	4	9	1	2	0	5	16	3	3	0	1	0	0	0	4	3	2	3	6	3	4	4	5	2	0	2	3	2	0	7	9	2	10	7	2	14	4	6	0	1	5	6	3	0	0	9	3	3	1	
156	121	102	126	167	117	99	125	126	116	143	89	133	125	127	110	106	107	122	144	111	103	120	20	74	66	35	31	15	73	12	3	78	148	27	74	134	37	113	43	48	254	74	10	18	87	7	34	157	206	37	238	210	63	179	81	73	8	35	136	152	32	8	8	183	85	74	11	
57	48	31	34	41	54	27	62	51	53	53	62	26	46	43	55	38	70	45	63	54	17	43	12	40	57	41	19	5	21	6	3	18	22	13	22	19	27	48	16	23	77	24	5	11	41	10	11	66	175	13	73	71	24	73	84	30	3	10	65	42	7	7	6	53	104	29	2	
771	895	804	788	819	1249	983	772	802	682	852	835	1105	1083	698	787	738	942	821	877	1034	1447	552	284	1218	1949	579	531	907	518	141	67	494	684	226	401	488	686	668	464	704	1028	735	169	200	733	192	565	879	1935	422	1160	996	466	1623	1114	640	79	223	697	819	324	190	148	930	1014	232	211	
16	13	7	14	8	1	5	9	12	5	12	7	9	12	8	12	16	21	11	10	13	2	6	0	12	44	8	0	0	1	0	0	6	1	0	1	6	4	4	4	3	10	2	0	0	6	1	2	6	15	5	22	17	7	26	31	6	0	0	9	20	5	3	3	19	47	11	1	
8	5	9	4	7	3	6	9	3	3	10	3	2	6	9	6	9	7	1	8	10	3	0	0	4	13	3	1	0	0	0	0	3	4	1	5	3	5	5	3	5	6	0	0	1	2	2	2	4	13	6	14	13	4	14	6	8	0	5	8	6	1	0	1	11	5	4	2	
6	9	3	12	3	7	9	8	10	5	7	2	5	15	10	8	11	15	7	10	8	2	1	1	6	23	1	1	0	1	0	0	1	1	0	3	1	2	2	0	5	6	4	0	0	5	3	1	3	1	1	5	12	1	9	4	5	0	0	4	9	1	0	0	14	10	4	1	
4	10	6	3	6	6	8	5	7	8	8	2	12	6	7	2	4	1	12	13	2	2	5	0	7	13	2	1	0	0	0	0	0	1	0	1	0	1	0	2	3	6	2	0	0	3	1	0	3	3	1	8	5	1	9	6	2	0	0	6	6	2	0	1	13	12	1	2	
