"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	23	10	12	11	12	11	7	9	10	12	10	15	11	9	8	15	12	14	10	10	24	20	17	17	11	2	15	14	4	11	14	8	14	2	13	7	1	9	8	14	7	10	16	12	20	8	14	12	2	16	13	4	13	16	7	5	17	15	7	9	6	8	16	11	26	18	18	9	17	4	
136	101	132	128	140	135	96	141	108	114	148	96	144	105	62	94	118	120	105	44	129	135	116	144	138	77	70	112	102	94	148	154	96	80	73	87	123	59	113	102	106	61	128	151	120	146	134	98	120	84	123	145	103	100	118	123	111	140	137	124	75	102	137	90	127	146	158	122	106	102	30	
71	58	65	53	73	51	73	62	50	67	74	48	57	57	20	47	41	71	59	42	55	60	52	71	58	45	36	55	41	68	64	65	36	49	38	41	67	35	63	52	52	28	35	51	50	47	67	70	42	40	50	45	59	40	36	47	39	54	50	48	44	53	63	49	60	52	69	40	48	49	9	
1255	1036	930	863	1003	1027	1040	1098	884	1076	1148	895	963	863	555	906	929	1056	974	463	1151	1009	983	1074	1167	600	501	860	887	837	1089	1029	797	705	685	707	1078	548	1004	816	901	544	826	1098	889	1015	1029	895	911	750	994	1135	879	908	791	950	776	1108	986	1015	708	1020	998	842	1048	1247	1164	890	840	972	214	
72	38	42	55	51	81	41	61	67	53	73	49	48	39	34	41	54	49	37	18	51	50	53	50	66	23	37	51	48	39	52	60	56	34	35	22	37	25	30	33	38	30	54	61	55	43	51	34	83	34	49	67	50	42	34	58	36	66	62	57	35	36	48	54	60	87	68	46	44	59	4	
10	13	4	7	13	8	5	10	15	4	9	11	6	9	3	12	6	17	7	4	7	13	12	7	16	3	3	8	4	8	12	8	6	5	9	3	14	4	13	6	15	10	4	9	14	14	6	6	6	11	5	9	6	10	12	15	4	7	11	13	9	11	5	9	9	14	12	13	4	8	1	
34	17	13	12	23	20	13	17	13	28	29	9	16	17	11	17	12	18	12	10	30	23	23	22	28	14	10	19	18	16	18	17	12	10	17	9	29	9	17	20	20	12	13	34	28	19	29	17	30	12	13	30	18	8	11	28	15	27	19	21	18	19	20	24	23	36	19	28	11	22	4	
53	46	34	35	55	49	24	41	55	42	45	32	45	46	24	46	40	47	34	13	41	40	39	49	51	20	23	34	44	35	53	46	37	39	17	13	41	10	32	26	34	25	64	66	53	36	38	31	57	41	40	54	45	33	47	53	32	51	54	66	30	38	46	36	39	68	58	55	44	55	5	
