"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №2293"	"УИК №2294"	"УИК №2295"	"УИК №2296"	"УИК №2297"	"УИК №2298"	"УИК №2299"	"УИК №2300"	"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	"УИК №2331"	"УИК №2332"	"УИК №2333"	"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2357"	"УИК №2358"	"УИК №2359"	"УИК №2360"	"УИК №2361"	"УИК №2362"	"УИК №2363"	"УИК №2364"	"УИК №2365"	"УИК №2366"	"УИК №2367"	"УИК №2368"	"УИК №2369"	"УИК №2370"	"УИК №2373"	"УИК №2374"	"УИК №2375"	"УИК №2376"	"УИК №2377"	"УИК №2378"	"УИК №2379"	"УИК №2380"	"УИК №2381"	"УИК №2382"	"УИК №2383"	"УИК №2384"	"УИК №2385"	"УИК №2386"	"УИК №2387"	"УИК №2388"	"УИК №2389"	"УИК №2390"	"УИК №2391"	"УИК №2392"	"УИК №2393"	"УИК №2394"	"УИК №2395"	"УИК №3576"	"УИК №3577"	"УИК №3578"	"УИК №3579"	"УИК №4003"	"УИК №4004"	"УИК №4005"	"УИК №4006"	"УИК №4007"	"УИК №4008"	"УИК №4009"	"УИК №4010"	"УИК №4011"	"УИК №4012"	"УИК №4193"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	8	5	8	9	9	13	15	2	3	15	9	18	9	18	8	7	13	9	7	8	1	3	14	2	1	5	11	13	5	4	3	3	9	1	2	7	3	8	7	9	9	11	4	9	12	15	9	4	8	11	6	12	14	13	8	6	10	9	7	7	11	6	16	13	18	17	13	11	8	10	8	5	6	10	13	6	5	16	9	7	10	32	3	9	6	1	11	13	6	4	18	8	10	10	11	8	3	2	11	7	9	5	3	4	5	6	3	10	6	13	12	16	12	3	20	2	8	5	1	5	5	2	4	13	0	3	15	6	12	6	6	2	6	6	5	0	9	3	8	11	
197	219	177	167	187	191	231	188	107	68	244	230	176	191	193	197	174	196	244	201	137	86	193	157	128	87	161	182	176	272	107	112	55	164	53	139	204	88	132	93	207	153	209	182	159	164	164	244	97	180	186	127	130	137	183	169	117	127	151	113	174	129	137	128	164	176	164	202	189	233	170	180	146	110	182	153	129	97	173	148	82	156	194	93	146	188	76	80	187	100	82	165	140	155	115	102	130	143	57	204	100	157	172	64	204	114	102	177	188	144	181	208	158	203	124	266	60	179	139	51	75	99	138	148	280	43	101	188	103	152	121	112	108	134	88	90	110	121	88	98	103	
57	92	65	71	90	100	95	79	31	45	62	82	91	75	85	48	69	91	58	59	65	28	100	60	55	61	70	90	70	69	40	51	32	72	33	44	85	38	51	33	65	50	85	49	75	68	56	67	42	49	88	51	43	78	51	79	66	56	63	66	63	63	50	53	85	58	87	82	58	69	56	94	80	45	75	90	56	37	77	79	34	69	68	56	71	71	23	42	91	39	50	74	52	79	44	59	81	47	19	88	32	88	73	33	68	51	34	102	66	58	102	103	84	117	60	89	39	86	72	24	44	55	61	54	96	23	28	99	51	65	49	45	50	37	22	45	57	41	28	46	62	
965	1087	888	1127	842	931	1010	906	603	771	1019	965	944	1059	1025	946	1029	936	914	976	810	424	1474	857	795	1016	1001	966	992	1047	520	586	394	1022	434	661	1268	420	842	594	1107	618	1082	790	1190	954	1296	1167	660	1175	1300	997	768	780	976	917	1088	796	1087	786	947	727	1051	975	1065	1200	1060	1500	1018	893	923	1351	763	621	1033	1090	840	503	932	916	523	842	1170	625	1040	975	490	584	1222	528	527	952	837	943	632	1285	1271	961	513	1028	914	1394	1071	616	1126	800	515	955	1053	740	1136	1158	901	1146	824	1285	341	1175	809	287	533	595	892	1025	1183	376	815	1069	727	763	603	682	636	651	584	616	656	732	438	519	701	
33	39	22	48	12	9	29	29	18	14	31	27	29	22	26	32	32	28	33	31	23	13	30	24	25	20	22	22	35	42	19	17	10	22	3	28	30	19	36	15	40	21	41	18	25	20	33	39	23	20	33	24	26	17	16	16	20	24	26	21	29	16	28	29	27	18	28	16	28	27	32	16	38	7	17	19	21	13	23	33	15	20	20	19	27	18	13	11	37	10	23	15	11	28	20	28	27	13	11	35	9	21	26	13	27	21	16	17	18	11	24	23	22	28	20	42	8	22	15	13	11	19	19	19	24	9	3	25	4	22	14	13	9	14	12	13	9	14	12	15	37	
4	4	6	17	9	15	7	9	10	5	9	8	12	10	23	21	12	11	15	18	6	3	8	7	3	7	14	10	11	11	7	3	1	14	4	6	7	8	16	3	14	4	9	11	18	8	14	14	7	7	12	13	5	8	11	10	2	8	11	12	8	8	13	9	12	11	11	11	10	12	7	9	9	4	12	9	6	3	9	14	2	5	7	3	9	13	2	7	11	4	0	9	10	12	3	11	15	11	1	6	2	8	20	5	9	12	6	11	4	2	17	10	5	14	8	11	1	21	8	3	7	4	6	8	11	2	4	7	5	4	6	6	4	6	4	3	4	4	3	9	12	
13	24	18	18	13	18	16	12	4	7	12	20	17	13	10	7	16	9	12	15	12	5	3	9	8	6	13	8	11	10	10	4	3	4	2	4	21	3	11	9	13	13	22	14	10	15	18	23	12	17	17	11	12	11	8	12	13	8	10	14	10	9	6	11	7	13	11	21	21	14	15	15	10	10	11	7	12	11	12	11	5	15	21	5	14	8	5	6	18	8	7	10	9	14	7	14	9	9	4	12	8	12	15	1	23	9	4	8	21	5	10	13	13	17	10	21	3	10	14	6	6	4	3	9	19	3	4	14	6	14	11	5	6	12	11	9	3	5	5	5	12	
21	17	9	10	12	15	15	17	5	3	17	18	13	18	17	23	19	21	23	34	12	6	12	10	9	3	11	13	11	23	9	5	5	17	6	9	17	6	30	7	45	15	18	18	27	29	39	25	11	16	14	30	16	16	35	26	13	6	16	15	18	8	14	15	10	15	17	28	35	22	18	15	21	14	27	13	10	11	15	23	9	16	29	10	12	12	4	9	27	6	9	22	24	19	6	14	10	21	4	29	12	14	10	5	21	12	11	13	15	2	13	13	21	17	18	16	3	11	13	3	4	7	7	10	25	3	5	16	4	18	4	5	13	14	3	17	8	7	5	13	9	
