"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	5	3	2	9	11	7	3	10	4	9	4	5	7	6	9	5	2	10	8	6	2	6	8	17	5	7	3	2	15	4	9	2	4	6	8	12	1	4	6	5	9	10	0	7	5	1	2	3	1	3	0	0	4	0	3	9	3	5	0	0	2	0	7	2	2	0	2	0	0	4	0	13	
114	77	108	170	209	211	122	109	198	106	130	69	113	71	76	150	92	74	145	105	93	75	74	167	189	84	159	80	84	239	103	120	35	39	163	31	169	27	41	149	50	113	148	106	125	80	108	40	43	25	54	13	8	173	30	26	129	164	112	16	3	37	80	100	7	86	15	85	27	11	58	1	192	
69	56	65	162	110	124	72	52	121	52	58	44	59	61	66	90	57	65	86	41	41	59	53	104	102	54	107	41	45	128	71	76	12	17	60	20	73	15	17	74	18	55	76	68	207	58	69	30	19	16	26	13	17	81	21	6	56	92	80	19	11	20	61	65	9	28	9	58	9	10	34	2	85	
742	500	765	1265	1320	1319	745	574	1279	663	867	510	670	549	671	1070	586	528	953	562	627	638	507	1227	1201	633	1054	492	376	1251	676	797	316	210	918	301	948	260	236	942	210	668	1086	620	1113	630	667	321	458	253	251	199	108	1025	195	123	784	810	964	225	79	233	531	771	102	321	89	566	192	107	376	44	1124	
15	7	9	83	38	51	24	15	35	13	9	17	21	15	5	23	5	5	19	21	10	20	16	25	27	15	10	11	6	34	17	24	11	9	22	7	18	7	2	10	6	6	23	12	46	9	4	16	7	0	7	8	0	8	5	2	10	7	13	6	0	2	5	10	3	4	0	4	0	1	4	0	20	
5	8	9	13	12	9	9	3	12	5	7	4	2	2	6	7	5	10	13	6	4	6	1	14	15	8	12	6	2	7	8	7	0	2	9	3	9	2	3	4	3	5	8	4	8	6	9	2	0	2	5	1	2	8	0	1	6	10	5	0	0	1	4	9	2	3	0	3	0	0	2	0	8	
7	5	7	4	16	26	11	8	28	10	7	9	4	5	9	12	9	5	14	3	7	11	8	17	22	10	15	1	2	20	8	24	3	0	23	5	28	1	1	8	4	11	12	9	6	6	4	7	4	2	2	3	0	6	2	0	6	3	10	3	1	0	0	9	2	0	0	4	0	1	4	1	12	
9	7	11	24	13	19	9	7	15	10	10	9	12	12	10	14	7	8	14	8	6	9	6	13	12	9	3	3	1	23	4	11	1	6	17	3	14	2	2	8	1	7	6	6	9	6	3	2	6	1	2	1	0	6	1	1	4	6	5	0	0	0	3	8	0	2	0	2	0	0	3	0	9	
