"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №1146"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	11	4	7	6	10	15	5	12	9	30	5	8	8	11	23	13	7	11	0	4	8	8	9	7	10	8	30	4	5	9	14	7	5	6	4	3	9	12	0	10	9	17	12	7	2	11	6	9	4	1	10	6	10	8	13	5	11	2	10	2	10	5	1	6	10	6	8	7	5	7	6	6	4	3	3	26	8	9	4	6	9	6	6	13	7	5	16	7	6	9	10	5	8	7	7	7	6	8	10	5	6	13	4	4	10	10	4	10	5	5	1	11	8	11	2	
186	146	120	113	108	153	165	81	119	139	82	145	154	187	181	186	119	120	167	21	94	131	108	116	155	135	141	120	135	108	140	169	140	196	167	52	120	99	120	20	159	150	167	153	102	108	115	112	178	124	105	90	94	110	140	178	130	151	202	62	71	158	100	124	94	91	86	101	117	165	97	88	118	132	20	207	248	133	139	107	53	128	95	136	134	135	73	167	120	157	137	78	94	149	166	141	215	104	104	140	112	165	159	82	101	119	188	107	121	118	124	82	163	118	95	12	
51	6	45	46	41	57	59	37	60	63	38	31	48	51	58	60	61	46	70	10	76	62	56	46	44	38	45	70	46	43	59	49	35	63	78	40	55	72	119	9	62	73	69	67	49	59	78	46	46	51	28	48	44	45	76	78	80	70	59	46	44	56	44	57	43	47	40	38	45	72	20	51	65	49	14	49	72	74	52	54	29	63	35	48	42	47	45	54	29	43	55	34	48	58	71	56	75	49	54	61	63	54	45	41	41	56	86	46	53	107	45	5	54	51	52	3	
636	926	578	592	613	752	777	899	667	569	731	765	881	772	892	888	899	785	844	468	655	694	742	537	706	826	1146	854	592	515	1015	824	975	943	782	778	682	652	960	309	782	928	897	1084	602	668	1206	956	874	709	1082	762	672	565	888	1048	759	694	802	812	412	861	1070	678	495	576	628	564	684	817	999	561	595	554	176	793	813	783	708	533	462	696	755	681	720	598	739	882	611	789	786	818	624	603	1162	841	1403	842	523	745	678	807	802	516	554	654	879	653	855	731	707	760	853	656	922	252	
29	36	13	10	20	31	17	13	12	34	7	11	41	26	29	21	17	17	22	0	11	14	20	10	20	11	15	42	16	12	20	19	11	20	23	3	9	12	2	7	20	25	17	18	7	27	16	10	22	16	6	8	8	15	23	36	11	25	12	11	12	30	12	15	11	13	13	13	15	20	9	11	11	7	0	7	17	22	15	15	12	12	15	20	12	15	18	17	11	19	20	12	15	20	17	37	27	12	10	26	16	15	33	13	23	15	22	14	16	8	15	6	16	16	12	2	
2	23	10	7	9	2	9	4	7	7	25	8	9	13	14	8	4	6	8	1	3	7	14	8	7	6	8	30	9	8	10	3	11	10	9	4	9	10	7	0	8	10	7	14	2	9	18	2	4	12	4	4	4	9	12	13	5	11	2	13	4	6	8	4	5	11	4	5	6	6	6	6	6	10	0	4	15	10	9	2	7	7	7	13	11	4	6	6	3	12	11	13	1	11	9	7	12	4	7	13	6	9	7	7	3	10	7	6	8	11	5	6	16	6	6	1	
12	10	4	14	10	9	13	5	11	11	30	11	10	14	13	15	5	11	9	0	8	19	14	8	12	9	11	29	8	6	12	4	9	12	11	5	7	7	5	4	5	11	3	10	9	7	3	5	7	7	5	2	7	8	12	5	15	9	2	7	3	3	6	3	6	6	4	6	7	7	2	2	6	7	1	6	36	7	20	5	5	6	9	11	3	9	8	6	4	6	13	7	6	9	6	8	13	5	8	17	5	4	11	5	8	7	7	9	9	4	9	4	12	4	10	0	
12	8	12	7	12	28	12	7	15	27	32	7	17	19	24	12	5	13	19	1	10	13	15	9	22	11	14	28	5	7	9	11	5	8	13	1	13	3	14	0	7	6	6	10	2	9	10	2	10	5	0	5	10	13	18	14	7	10	1	6	3	16	11	9	12	7	5	4	8	13	3	7	11	9	1	2	26	8	10	10	18	27	7	13	11	5	7	13	6	17	14	10	4	17	14	16	16	10	10	11	13	10	8	10	9	12	15	9	12	4	5	5	16	12	13	0	
