"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	7	18	11	8	12	12	14	7	10	9	3	11	9	3	12	12	2	14	12	12	15	7	14	12	6	6	5	8	14	8	9	10	11	5	9	8	7	6	18	4	5	5	8	11	10	12	10	9	9	6	7	5	5	7	2	7	12	8	3	8	5	10	10	9	5	4	3	13	
134	69	100	91	114	130	94	114	76	100	115	105	92	142	136	107	105	68	113	130	144	113	94	95	96	111	101	75	112	105	114	105	95	94	89	116	91	107	107	111	112	117	98	85	82	67	77	92	120	95	59	55	82	77	72	89	100	100	91	95	124	119	111	112	113	113	74	13	37	
71	55	71	70	63	53	41	52	58	69	52	50	68	66	55	54	65	41	81	73	56	57	48	66	72	59	56	67	71	69	34	69	60	61	68	66	44	64	55	65	60	47	61	54	56	49	40	58	74	76	33	31	52	30	34	44	75	33	54	48	66	42	51	51	39	50	43	15	167	
949	848	891	967	967	1091	951	977	965	1229	1126	1038	1119	1196	1092	1069	1008	649	1168	1176	1062	956	860	1020	1001	965	928	972	995	1034	1015	1065	998	1004	996	976	930	832	944	1038	919	854	885	922	950	866	708	966	1032	884	600	906	832	794	636	644	876	794	804	823	1056	1057	850	843	825	868	589	327	1056	
37	39	34	39	36	44	29	42	24	48	30	23	30	43	41	27	37	23	41	52	51	33	20	40	50	41	26	35	33	28	39	38	26	24	29	33	36	28	37	33	25	35	22	34	21	31	29	21	33	16	11	19	25	21	17	18	37	26	29	34	33	34	32	21	27	35	19	8	123	
7	11	9	6	7	4	5	6	6	8	11	12	11	2	8	7	9	4	12	13	13	1	10	9	11	3	14	9	6	10	8	7	13	9	8	12	11	10	7	10	8	6	3	5	6	10	6	9	6	9	2	7	6	5	8	5	8	8	7	8	13	8	11	5	12	7	4	6	6	
21	16	19	18	19	16	10	18	11	10	14	11	10	18	16	19	15	5	15	14	24	19	7	16	20	23	12	17	19	17	17	16	14	12	12	18	12	13	10	20	11	8	7	9	18	11	11	14	10	4	6	11	8	16	3	11	10	6	12	9	13	17	13	16	16	11	10	4	14	
9	21	29	18	32	21	20	24	24	32	17	16	29	39	35	34	26	13	20	27	36	18	14	20	29	24	20	25	27	20	23	25	24	29	33	25	14	15	26	27	12	24	14	31	20	22	20	15	18	11	10	25	15	20	15	13	26	12	21	14	29	27	33	16	33	23	12	5	19	
