"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №2619"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	5	2	2	3	2	4	2	2	4	0	1	2	2	2	4	4	2	2	0	5	4	2	12	9	0	3	2	1	1	1	0	2	6	16	1	4	5	3	0	2	1	2	1	9	4	2	5	3	4	0	3	4	1	5	3	
90	73	99	67	48	42	72	48	70	34	48	64	36	58	41	126	115	103	38	79	18	93	83	106	108	84	48	61	68	38	43	29	70	71	91	28	109	131	111	22	55	53	11	58	38	86	87	31	93	98	76	54	27	95	74	108	64	
34	41	39	28	24	35	28	35	55	23	31	40	22	31	18	36	53	52	11	41	16	48	40	55	70	60	25	46	36	18	16	13	32	33	46	28	73	66	51	22	29	54	14	65	26	58	40	32	58	31	31	30	12	44	38	63	37	
557	550	652	596	368	371	365	371	380	414	384	422	323	381	266	588	645	644	489	539	756	694	565	666	717	596	378	545	397	286	321	312	438	416	550	533	685	733	755	701	381	395	206	563	347	620	647	319	529	499	592	351	365	475	362	734	518	
8	4	6	6	4	5	3	2	0	1	2	5	1	3	2	1	6	5	1	6	2	3	5	10	11	9	3	7	5	0	4	6	1	4	4	26	5	6	10	1	4	2	2	3	4	0	6	1	3	9	4	0	2	5	2	8	2	
4	1	8	2	4	7	2	4	1	2	1	4	1	2	3	10	3	3	3	3	2	5	2	5	5	8	3	7	4	1	1	3	3	4	7	18	11	6	10	8	2	2	2	5	3	5	3	0	9	3	2	1	1	7	11	6	5	
1	1	4	7	3	2	2	4	0	2	1	0	1	7	2	3	5	3	2	2	1	3	2	8	8	6	5	1	4	3	2	0	2	1	3	15	2	7	4	5	0	3	2	2	0	3	5	1	0	5	3	2	3	3	2	1	2	
2	5	2	3	2	4	4	1	3	1	0	1	0	2	1	0	6	6	4	5	3	1	1	4	5	2	1	3	1	0	12	2	1	3	2	32	3	5	3	2	2	2	1	1	1	2	2	0	2	0	6	4	0	3	1	3	1	
