"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	7	10	8	8	9	4	1	7	13	8	8	6	11	3	7	12	3	4	10	9	8	5	7	3	8	7	3	14	4	8	10	4	4	12	9	10	6	4	6	7	6	7	8	8	8	8	5	2	4	9	8	12	6	9	4	9	7	16	5	4	7	8	4	12	10	5	5	8	6	7	
143	235	375	167	262	195	87	66	199	199	188	155	124	175	199	170	179	120	152	134	127	125	190	131	187	233	151	136	175	180	192	140	122	125	155	200	147	129	113	112	213	154	128	154	161	111	196	33	147	123	152	177	313	154	154	232	176	218	156	159	156	198	174	108	192	228	168	114	284	167	234	
54	78	99	58	105	115	42	23	100	65	71	81	73	60	98	76	56	61	54	61	61	50	79	89	67	101	66	68	64	66	51	64	52	58	78	48	65	59	72	49	90	65	60	53	88	65	77	181	72	56	77	71	109	75	71	67	61	86	81	62	67	71	61	56	85	70	80	44	86	53	44	
574	1027	1300	778	967	969	379	220	941	1126	783	688	602	721	831	850	771	508	768	714	681	587	844	797	876	1083	703	564	842	868	807	746	617	500	804	742	664	679	691	476	1011	864	654	660	905	627	1049	394	631	507	703	729	1315	786	884	888	775	996	775	824	686	896	707	497	801	903	604	548	1030	744	822	
26	51	68	26	40	39	7	7	28	34	35	30	22	20	36	28	32	25	29	33	21	16	29	16	17	51	24	23	24	29	44	28	20	16	23	19	8	20	15	16	28	29	19	14	30	13	40	33	23	16	27	28	51	8	18	57	22	36	22	34	27	37	36	32	33	48	18	24	36	25	47	
5	5	5	9	5	8	4	0	8	9	13	5	6	5	4	7	15	3	4	6	8	7	10	6	7	12	5	3	7	5	6	2	7	5	7	5	5	2	4	8	7	8	7	5	10	8	7	5	18	4	2	7	8	8	7	4	10	5	6	6	9	8	5	7	8	5	1	3	3	1	1	
8	30	12	10	19	8	1	5	12	17	9	11	8	12	11	14	9	10	12	12	12	6	10	8	4	22	8	3	14	7	11	14	12	8	11	13	8	11	4	6	13	6	8	6	13	6	21	5	13	6	9	8	18	6	9	20	9	16	5	7	10	8	12	8	15	18	8	6	14	16	11	
24	24	21	18	23	25	6	3	22	29	17	13	18	11	21	15	24	19	7	15	13	19	22	17	16	31	16	12	26	29	14	16	15	8	22	6	14	12	14	9	24	2	22	7	11	8	29	1	13	12	29	11	28	12	16	22	18	22	16	21	15	15	20	15	20	32	14	19	30	19	20	
