"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	10	15	10	14	5	8	9	9	6	8	14	8	10	12	10	14	16	14	17	20	11	15	6	9	11	8	16	10	8	5	15	11	14	17	9	6	9	11	7	14	14	30	14	11	13	15	8	8	12	15	11	9	15	14	7	14	9	9	12	13	12	5	9	18	15	16	21	6	9	4	7	1	4	4	3	2	
129	67	117	137	141	90	117	103	179	91	119	110	143	309	123	143	101	136	129	150	149	100	110	108	106	149	139	106	114	91	67	96	102	118	113	98	88	77	117	121	114	112	186	146	185	184	124	99	142	93	96	124	97	133	157	120	116	113	63	121	127	140	71	96	128	183	86	117	105	77	52	34	16	43	58	22	29	
47	37	56	53	51	25	42	46	44	49	43	45	59	47	52	42	48	53	51	37	43	36	37	37	26	42	32	36	35	32	28	41	38	42	50	33	14	29	50	24	38	44	63	33	49	49	37	57	51	42	46	70	40	56	91	63	69	44	29	64	52	54	35	42	63	71	44	80	44	47	28	22	31	15	36	13	21	
991	522	916	1001	1350	561	929	753	780	634	704	729	954	2700	999	970	739	983	885	667	1106	730	736	721	726	829	751	747	805	632	484	864	769	686	796	767	477	598	857	752	832	938	1325	910	1044	1392	718	866	1037	757	938	1105	739	1188	1124	1030	1045	841	473	1056	1165	1068	748	822	1135	1437	793	1037	785	843	528	412	273	329	532	179	252	
76	63	74	72	50	43	60	43	107	32	80	59	68	69	87	97	50	92	71	92	120	43	50	61	55	96	82	71	73	81	46	83	60	74	63	75	41	57	81	68	93	92	134	88	109	118	45	38	75	52	55	63	46	56	54	57	57	40	37	77	69	66	44	43	68	84	39	71	35	43	17	21	11	10	21	8	13	
5	7	11	13	7	6	17	8	6	7	5	4	7	11	7	9	5	9	11	10	13	13	3	7	2	11	5	6	9	3	7	11	10	14	7	11	3	5	7	5	9	8	7	7	11	2	8	7	11	5	4	6	8	13	9	4	10	2	7	16	15	9	8	6	14	12	8	7	5	14	4	5	0	4	5	2	3	
23	7	28	21	24	12	26	13	24	11	22	15	24	23	27	34	34	38	22	29	24	21	22	17	23	49	24	26	31	10	17	24	16	13	22	19	13	20	29	23	23	32	41	33	53	54	27	19	21	17	21	22	15	25	23	32	26	15	12	34	25	26	11	11	33	36	17	13	18	26	3	5	1	4	9	6	1	
73	35	50	42	33	36	62	26	43	27	72	55	48	38	82	95	59	73	52	70	95	52	45	39	43	45	62	72	74	66	54	71	67	68	61	45	41	55	57	74	69	67	92	78	82	57	50	33	49	27	47	46	35	51	70	72	59	35	30	51	50	53	45	55	43	59	26	55	34	36	14	9	4	12	17	5	10	
