"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	10	10	6	12	8	9	3	10	6	10	2	6	8	10	4	9	3	7	8	15	11	13	9	11	8	13	15	10	16	9	10	13	14	14	7	7	9	8	6	9	12	9	18	11	11	12	13	19	19	8	8	6	4	12	10	7	11	8	9	13	7	13	14	14	9	11	11	11	6	1	0	
141	196	138	138	161	141	144	109	138	142	162	57	130	105	159	111	130	128	102	112	132	117	137	144	141	120	165	133	164	170	151	162	139	146	148	150	118	131	115	192	198	139	135	149	155	161	184	172	235	210	135	156	140	132	132	130	145	159	121	95	163	134	209	146	191	148	121	174	208	189	44	23	
107	109	83	99	95	93	101	88	80	97	87	42	93	83	89	84	81	83	75	79	99	94	91	94	95	77	98	81	95	71	98	80	78	68	80	82	70	79	78	131	74	97	80	85	86	71	112	89	112	117	73	89	74	93	91	83	73	69	77	68	80	73	86	58	112	83	83	107	80	83	23	11	
1030	1180	764	847	1020	793	821	897	811	859	865	412	781	756	787	746	734	750	748	687	876	832	838	808	976	820	792	791	766	976	854	772	786	771	781	871	721	761	663	1114	954	888	861	859	880	872	1056	895	1159	953	701	756	763	775	843	721	919	842	791	762	747	784	954	845	901	792	871	870	858	1006	243	122	
39	41	22	26	38	45	23	37	23	31	36	4	28	20	31	28	23	24	23	29	31	35	33	35	33	30	27	41	29	41	29	33	36	16	30	34	25	26	19	52	46	35	27	36	40	27	44	59	41	42	25	32	21	36	29	25	36	44	25	17	28	30	41	29	30	30	28	36	52	57	5	8	
8	12	6	5	6	13	9	12	4	7	8	8	5	5	6	5	10	7	4	5	8	10	6	14	13	2	8	6	10	12	11	10	6	9	10	6	7	7	6	8	8	8	6	8	12	8	16	13	4	9	3	7	9	4	6	4	6	3	8	11	6	8	7	8	11	6	16	6	9	13	2	0	
15	20	10	9	15	22	12	7	8	8	11	4	15	22	15	9	7	7	8	10	8	16	18	18	14	12	9	16	15	16	13	8	16	14	18	8	11	15	12	26	16	19	9	12	11	8	10	15	29	19	11	10	9	17	14	17	16	18	9	8	11	7	6	12	18	16	8	8	17	31	4	0	
19	32	14	20	30	18	30	25	23	18	47	9	27	24	29	28	29	23	33	33	24	34	25	30	45	20	28	31	37	37	19	31	33	27	31	29	9	27	27	43	25	25	21	27	30	29	36	30	41	30	27	33	28	28	28	32	24	30	24	12	27	30	27	19	26	28	32	31	36	37	2	2	
