"УИК №2334"	"УИК №2335"	"УИК №2336"	"УИК №2337"	"УИК №2338"	"УИК №2339"	"УИК №2340"	"УИК №2341"	"УИК №2342"	"УИК №2343"	"УИК №2344"	"УИК №2345"	"УИК №2346"	"УИК №2347"	"УИК №2348"	"УИК №2349"	"УИК №2350"	"УИК №2351"	"УИК №2352"	"УИК №2353"	"УИК №2354"	"УИК №2355"	"УИК №2356"	"УИК №2357"	"УИК №2358"	"УИК №2359"	"УИК №2360"	"УИК №2361"	"УИК №2362"	"УИК №2363"	"УИК №2364"	"УИК №2365"	"УИК №2366"	"УИК №2367"	"УИК №2368"	"УИК №2369"	"УИК №2370"	"УИК №2371"	"УИК №2372"	"УИК №2373"	"УИК №2374"	"УИК №2375"	"УИК №2376"	"УИК №2377"	"УИК №2378"	"УИК №2379"	"УИК №2380"	"УИК №2381"	"УИК №2382"	"УИК №2383"	"УИК №2384"	"УИК №2385"	"УИК №2386"	"УИК №2387"	"УИК №2388"	"УИК №2389"	"УИК №2390"	"УИК №2391"	"УИК №2392"	"УИК №2393"	"УИК №2394"	"УИК №2395"	"УИК №2396"	"УИК №2397"	"УИК №2398"	"УИК №2399"	"УИК №2400"	"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	7	13	17	11	11	10	3	21	10	13	11	9	6	12	5	8	5	10	10	2	6	8	13	11	7	8	8	18	5	4	8	11	21	6	5	15	12	8	12	6	0	11	14	5	13	11	7	6	3	5	5	1	6	1	7	4	1	3	1	4	8	5	6	1	2	6	2	7	0	0	
189	64	197	181	189	225	87	100	228	156	178	166	161	161	135	165	149	132	115	160	92	125	121	196	226	105	171	90	146	167	169	140	187	184	63	57	183	237	109	198	182	66	167	134	138	133	138	132	81	155	118	95	104	159	72	64	74	41	88	5	127	98	64	65	12	24	95	26	27	15	19	
112	45	117	117	93	110	52	63	117	120	90	124	100	71	82	87	133	90	74	104	35	93	60	90	71	44	86	42	80	113	79	95	129	86	45	45	79	153	49	128	100	59	116	96	83	110	79	98	55	84	66	61	74	93	39	46	55	27	119	3	86	68	47	77	16	15	59	20	21	15	14	
1132	551	1342	1335	1280	1387	550	783	1419	1105	1270	1229	1137	990	809	933	1092	858	755	1221	561	810	822	1415	1171	663	950	539	1178	1253	1038	1051	1241	950	489	430	1151	1260	501	1137	1224	531	1215	1073	990	1376	892	932	474	969	695	461	686	971	397	436	544	320	1027	97	834	630	428	637	109	128	709	207	243	160	254	
25	13	40	33	34	41	14	18	57	31	43	37	27	38	34	27	36	30	36	42	23	17	31	43	29	18	28	10	27	44	31	20	26	25	10	10	32	33	23	21	23	4	16	28	23	36	17	20	10	20	9	8	18	14	7	9	3	5	8	2	7	7	10	6	0	0	10	4	5	3	3	
11	6	17	12	10	16	5	6	14	13	12	15	14	10	9	13	8	8	9	12	1	6	8	9	10	8	7	7	15	10	7	8	15	5	3	5	11	11	11	8	12	6	10	12	6	12	10	12	4	11	10	3	4	12	3	9	3	4	15	0	9	4	5	5	1	1	8	2	1	0	2	
10	6	24	8	11	10	5	11	17	19	23	16	13	15	16	4	14	14	10	22	8	17	13	13	21	8	7	5	18	23	19	8	16	6	6	4	13	14	7	11	16	3	6	7	3	13	7	11	3	1	9	4	9	9	1	1	3	1	5	1	2	3	5	4	0	0	12	0	0	1	2	
14	9	15	20	23	20	4	9	27	26	16	18	13	13	19	9	14	11	15	23	10	16	9	20	21	7	21	6	14	16	12	10	23	10	5	3	18	10	5	8	7	5	11	14	6	11	12	13	5	14	9	8	4	7	6	0	3	2	4	0	0	4	3	1	0	1	19	1	2	6	0	
