"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	"УИК №2125"	"УИК №2126"	"УИК №2127"	"УИК №2128"	"УИК №2129"	"УИК №2130"	"УИК №2131"	"УИК №2132"	"УИК №2133"	"УИК №2134"	"УИК №2135"	"УИК №2136"	"УИК №2137"	"УИК №2138"	"УИК №2139"	"УИК №2140"	"УИК №2141"	"УИК №2142"	"УИК №2143"	"УИК №2144"	"УИК №2145"	"УИК №2146"	"УИК №2147"	"УИК №2148"	"УИК №2149"	"УИК №2150"	"УИК №2151"	"УИК №2152"	"УИК №2153"	"УИК №2154"	"УИК №2155"	"УИК №2156"	"УИК №2157"	"УИК №2158"	"УИК №2159"	"УИК №2160"	"УИК №2161"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	1	12	14	15	0	12	11	22	10	4	10	10	18	13	1	11	13	7	14	11	5	8	1	1	10	7	8	11	8	13	6	8	0	8	4	12	17	4	5	1	0	4	0	3	1	3	18	0	2	22	23	10	7	9	22	12	8	8	2	3	
125	92	103	150	155	84	157	149	151	161	81	141	150	231	218	51	159	130	145	163	74	46	43	92	127	191	97	169	198	197	234	168	101	71	193	71	208	221	49	50	53	70	68	61	54	27	68	203	66	26	241	234	171	179	207	239	236	57	89	15	21	
75	165	116	116	137	154	145	126	123	137	194	119	134	119	182	136	141	68	65	110	105	103	40	201	56	128	163	158	141	141	131	101	124	163	170	145	186	200	30	125	108	120	170	149	59	32	159	122	171	29	147	141	160	133	153	139	121	151	225	23	55	
921	1087	886	957	1156	1010	1151	893	1183	1056	1254	998	1017	1447	1454	848	1070	827	750	1228	1043	1115	956	1209	640	981	705	1136	1112	1199	1290	1189	752	1079	1294	722	1148	1252	287	890	720	778	852	853	432	248	1045	1028	1066	282	1326	1465	1304	1094	1220	1121	1447	1082	1405	282	567	
36	28	29	52	36	31	48	31	47	33	30	37	42	67	55	25	31	44	49	45	22	12	26	30	28	31	20	34	31	33	40	29	9	25	18	12	29	19	7	24	17	21	9	18	14	1	28	25	18	4	52	43	36	17	29	38	58	30	8	4	4	
2	0	14	9	10	0	12	14	10	21	4	14	10	9	12	1	8	8	11	11	11	11	5	0	8	15	5	10	13	7	10	6	4	2	19	11	7	9	2	3	0	1	2	0	13	1	2	12	0	8	18	12	6	16	13	13	17	5	4	1	4	
14	0	3	12	13	1	15	9	13	13	3	16	12	22	33	1	11	8	10	17	10	10	15	1	3	10	3	10	11	19	14	8	6	3	13	5	7	7	2	10	0	2	4	0	6	3	1	9	0	4	13	18	15	10	7	9	18	11	3	3	3	
14	2	18	23	30	0	20	19	18	17	7	11	9	23	28	1	23	19	16	25	15	16	21	2	12	18	1	10	20	11	14	16	0	0	16	2	9	9	1	5	1	2	3	1	6	2	2	3	0	3	23	19	9	3	15	14	11	9	7	0	2	
