"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	2	8	13	7	13	11	13	13	11	13	7	11	14	15	8	12	8	10	20	12	4	2	9	6	9	18	9	1	10	2	4	10	13	3	9	10	10	9	3	8	6	7	7	9	8	1	2	6	4	8	8	4	2	8	1	0	2	0	2	0	6	12	0	0	6	0	1	1	3	1	0	0	0	7	1	
122	84	184	113	164	102	90	124	44	155	158	174	192	158	176	179	148	202	167	199	132	102	108	33	136	94	175	148	135	136	145	122	110	127	119	125	132	132	139	185	246	129	146	119	152	81	154	112	9	107	52	90	97	96	37	70	19	11	39	21	48	12	102	127	25	13	47	20	3	4	23	46	66	16	13	60	4	
92	26	88	60	84	70	70	87	79	71	76	68	82	62	109	103	113	18	124	19	78	49	74	18	85	23	93	87	79	25	114	68	68	53	42	83	73	75	82	117	8	80	97	97	106	49	39	28	6	98	44	76	111	66	59	59	25	11	20	7	20	12	56	73	10	8	27	9	6	8	26	22	29	22	13	39	36	
897	418	1067	1069	1176	929	915	1478	1164	1042	1174	1074	1137	1256	1202	1418	935	1433	1209	1705	937	726	735	209	940	791	1034	966	926	817	1174	926	1041	1010	1006	946	1094	1348	1015	1242	1238	1006	1152	1000	1139	1129	1016	593	210	942	383	1109	1093	1010	707	709	184	147	317	281	332	144	711	839	168	165	649	165	91	142	165	572	521	233	285	533	117	
10	5	16	15	23	16	22	26	22	27	34	39	32	31	38	22	27	33	32	8	24	21	17	7	19	9	21	36	20	5	14	9	18	14	12	19	16	17	27	26	8	28	28	13	23	9	5	3	1	15	4	7	9	17	3	7	0	0	2	3	4	0	3	8	2	1	6	1	1	0	1	3	3	2	1	11	12	
3	5	12	5	10	3	3	3	8	5	13	11	11	10	8	12	3	11	6	13	8	9	3	0	10	6	11	13	11	1	8	4	9	5	7	6	5	9	17	16	0	10	20	5	8	3	5	3	0	7	5	3	2	2	4	6	1	0	4	3	2	1	7	7	0	1	5	0	0	2	0	5	4	1	0	2	0	
6	4	8	8	8	12	9	4	13	5	9	16	10	9	15	10	23	14	14	10	13	8	5	2	3	6	6	6	8	2	13	7	8	4	7	6	6	8	10	13	3	8	10	9	13	4	7	3	1	7	2	3	4	5	2	11	0	1	1	1	5	1	2	3	0	1	1	2	0	0	0	1	2	0	1	2	3	
9	9	11	10	17	8	18	10	16	16	18	21	16	12	10	9	12	15	14	10	25	11	9	1	17	5	7	8	15	1	14	6	5	12	6	13	15	15	12	17	11	15	16	8	10	7	7	2	3	4	2	6	10	1	0	16	0	0	0	1	2	2	2	4	0	0	6	0	0	0	1	2	2	0	0	5	0	
