"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	8	7	5	8	7	8	13	3	6	11	8	5	3	5	12	6	8	12	12	7	9	8	12	12	6	14	14	10	7	9	8	2	1	11	10	12	12	6	7	16	7	9	5	17	5	8	5	6	17	13	8	0	9	10	6	6	7	8	5	4	6	16	3	4	1	9	2	
96	101	93	136	187	134	129	160	131	106	140	145	156	71	93	117	104	124	109	130	152	144	124	133	148	106	147	134	167	188	137	131	112	53	178	164	136	141	114	120	182	67	164	111	174	147	102	117	124	151	153	176	45	79	143	153	122	199	180	116	106	82	168	96	134	103	189	100	
63	97	71	100	88	85	84	129	89	95	116	116	78	52	65	96	64	115	88	84	100	70	64	94	104	87	106	90	70	96	84	88	34	34	90	116	93	87	70	66	140	57	98	73	114	125	73	89	69	106	91	177	31	57	84	76	88	107	98	54	68	43	76	53	76	91	94	69	
668	852	714	808	916	857	920	939	801	746	987	862	888	496	667	771	665	927	801	808	821	709	711	667	806	730	955	906	841	935	826	799	341	465	931	1043	791	807	647	667	1001	484	859	784	946	1145	520	561	631	737	753	1232	234	489	710	974	713	1005	872	567	558	524	869	532	813	571	921	561	
9	13	11	9	13	18	18	14	11	12	19	19	23	10	12	12	10	21	19	8	20	24	19	18	16	8	9	16	27	18	11	10	8	13	19	24	13	17	18	14	16	13	14	19	18	31	9	9	22	17	5	75	3	10	20	22	7	18	17	8	11	6	29	9	16	20	14	8	
4	6	1	9	11	11	13	14	11	8	10	10	6	7	4	12	3	5	12	10	8	6	7	2	13	10	15	11	14	7	15	7	1	3	11	13	7	9	6	4	8	4	12	8	7	12	4	13	6	7	9	12	5	4	5	9	14	17	9	4	6	1	9	6	11	5	13	8	
3	7	7	6	12	12	13	19	4	8	11	10	14	6	6	7	8	6	4	10	5	5	12	5	9	14	10	5	14	11	7	9	2	3	6	7	8	10	10	10	6	9	7	6	7	12	2	5	8	10	11	14	2	3	6	10	6	10	11	6	7	1	2	9	7	5	11	6	
7	3	5	6	12	7	10	11	7	4	16	9	9	2	9	15	6	9	11	12	11	9	10	5	14	9	9	13	3	9	8	5	5	2	9	8	4	6	10	8	14	3	3	11	8	9	6	1	4	6	9	21	2	6	5	12	8	5	7	3	6	6	4	11	9	4	2	3	
