"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	"УИК №1871"	"УИК №1872"	"УИК №1873"	"УИК №1874"	"УИК №1875"	"УИК №1876"	"УИК №1877"	"УИК №1878"	"УИК №1879"	"УИК №1880"	"УИК №1881"	"УИК №1882"	"УИК №1883"	"УИК №1884"	"УИК №1885"	"УИК №1886"	"УИК №1887"	"УИК №1888"	"УИК №1889"	"УИК №1890"	"УИК №1891"	"УИК №1892"	"УИК №1893"	"УИК №1894"	"УИК №1896"	"УИК №2022"	"УИК №2039"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	

19	5	7	9	3	11	11	13	4	7	10	6	10	12	9	8	4	10	6	5	14	7	5	13	17	11	7	6	10	8	1	5	13	11	1	11	14	9	10	5	8	10	2	7	9	7	11	1	3	8	11	14	13	9	15	6	10	13	6	14	11	12	10	6	6	10	4	6	5	5	2	10	10	10	7	8	5	4	1	16	6	13	1	
244	155	197	204	249	322	260	258	139	262	325	230	291	221	206	243	203	234	267	225	269	273	182	260	327	267	128	170	219	191	123	96	374	247	191	218	216	223	200	146	162	173	149	192	148	218	183	185	183	160	181	232	133	218	229	237	199	181	231	222	219	220	166	198	245	277	121	213	248	231	101	190	201	182	216	166	147	256	133	316	303	331	32	
58	25	62	59	77	72	79	53	54	53	47	61	60	41	59	52	40	54	60	62	75	59	33	48	52	67	19	48	49	57	42	29	86	57	78	67	67	56	50	74	79	61	39	57	43	46	29	59	57	62	47	55	50	55	53	78	72	55	73	52	82	69	33	48	76	67	41	86	56	54	44	78	57	64	64	47	55	68	46	116	73	88	23	
998	494	816	747	931	1164	973	993	579	974	1068	858	1068	863	853	989	619	712	997	1502	972	1172	631	1044	1119	1039	399	831	841	940	584	398	1228	1036	814	928	916	857	761	675	768	849	605	946	630	783	600	815	804	711	792	828	558	634	851	877	788	829	817	976	979	870	575	801	1029	1057	570	864	906	850	470	919	854	899	900	681	657	905	536	1169	1095	1199	234	
50	36	22	23	50	42	39	67	9	24	44	23	40	17	21	26	45	26	31	26	29	31	43	51	53	63	27	27	23	14	4	11	98	16	17	19	20	19	18	7	17	15	12	19	25	35	29	20	23	6	20	32	14	27	29	36	19	23	22	27	28	28	12	28	17	33	16	18	39	22	7	15	20	15	30	25	23	36	17	46	43	47	4	
12	5	4	5	8	6	9	6	5	3	7	6	9	17	9	7	6	11	9	5	7	6	2	4	8	10	4	8	7	6	3	3	15	9	13	11	9	8	7	5	7	8	5	13	9	8	3	5	10	3	10	12	4	4	2	10	11	7	11	6	9	5	6	5	8	4	9	6	9	9	2	7	13	4	7	5	7	10	0	11	12	6	3	
27	22	8	8	16	15	13	14	6	15	27	8	13	14	18	9	12	11	12	3	8	11	20	12	27	19	6	13	10	9	6	5	30	13	5	9	17	9	6	3	10	9	4	12	10	6	12	2	4	1	10	12	5	8	10	8	8	5	6	8	11	13	6	8	12	12	4	7	16	12	0	13	16	9	7	16	11	6	3	14	18	12	2	
36	32	15	17	25	31	22	30	5	12	30	10	24	9	16	18	21	22	25	9	13	19	32	37	48	31	2	12	9	17	4	6	59	14	15	28	14	12	13	6	8	7	5	20	17	30	20	4	8	4	19	28	5	16	15	22	28	16	18	23	19	6	10	11	12	21	4	9	17	12	2	30	25	21	23	10	22	14	8	29	29	18	1	
