=== 93 1 ===
	7. Эмин Джафаров
	8. Виктор Катаев О-198
	9. Ирина Лысенко

	Яцевский Артемий Андреевич
8 партия роста	Миронова
	1. Ирина Миронова
	2. Елена Ульянова О-181
	3. Ксения Безуглова
	
	1. Борис Титов
	2. Яков Якубович О-208
	3. Виктор Сиднев О-202
	4. Сергей Демин О-207
	5. Эльвира Вихарева О-196
	6. Вячеслав Леонтьев
	
	---- Выбыл после регистрации
13Родина	Журавлев	
	1. Алексей Журавлёв ДД О-177
	2. Андрей Богатов
	3. Татьяна Буланова О-212
	4. Олег Пахолков
	5. Михаил Хазин О-207
	6. Вячеслав Илюхин
	7. Валерий Шинкаренко О-111
	8. Алексей Рылеев
	9. Карен Григорян О-74
	
	1. Марина Костычева
	2. Хасан Мусаев
	3. Денис Давлеткалиев
	4. Степан Филатов
	5. Андрей Федотов
	
	?????????
